Name	Parent	RootTemplate	ModifierType	Act	Level	UseAPCost	Value	Weight	ComboCategory	Requirements	Strength	Finesse	Intelligence	Constitution	Memory	Wits	Vitality	Armor	PiercingResistance	PhysicalResistance	FireResistance	EarthResistance	WaterResistance	AirResistance	PoisonResistance	Flags	InventoryTab	AddToBottomBar	IgnoredByAI	RuneLevel	RuneEffectWeapon	RuneEffectUpperbody	RuneEffectAmulet	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
Huge_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			11																													Gold	19	63	1		11	12		
Pile_Of_Gold	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													Gold	24	80	1		13	14		
Pile_Of_Gold_B	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			15																													Gold	31	99	1		15	16		
Pile_Of_Gold_C	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			18																													Gold	59	190	1		18	18		
Pile_Of_Gold_D	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			19																													Gold	63	219	1		19			
Small_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													GoldBig	15	30	1		1	2		
InBetween_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			3																													GoldBig	19	38	1		3	4		
Medium_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			5																													GoldBig	24	47	1		5	6		
Large_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			7																													GoldBig	29	59	1		7	8		
Larger_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													GoldBig	49	116	1		9	10		
Huge_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			11																													GoldBig	68	129	1		11	12		
Pile_Of_Gold_Big	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													GoldBig	81	176	1		13	14		
Pile_Of_Gold_Big_B	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			15																													GoldBig	121	208	1		15	16		
Pile_Of_Gold_Big_C	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			17																													GoldBig	168	312	1		17	18		
Pile_Of_Gold_Big_D	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			19																													GoldBig	190	501	1		19			
Neo_Gold_Reward_Tiny	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													NeoGoldReward_Tiny	20	30	1		1	8		
Neo_Gold_Reward_Small	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													NeoGoldReward_Small	50	80	1		1	8		
Neo_Gold_Reward_Medium	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													NeoGoldReward_Medium	100	130	1		1	8		
Neo_Gold_Reward_Large	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													NeoGoldReward_Large	150	200	1		1	8		
Neo_Gold_Reward_Huge	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													NeoGoldReward_Huge	250	280	1		1	8		
Neo_Gold_Reward_Insane	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													NeoGoldReward_Insane	350	400	1		1	8		
Neo_Gold_Reward_Step2_Tiny	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													NeoGoldReward_Tiny	40	60	1		9	12		
Neo_Gold_Reward_Step2_Small	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													NeoGoldReward_Small	100	150	1		9	12		
Neo_Gold_Reward_Step2_Medium	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													NeoGoldReward_Medium	200	300	1		9	12		
Neo_Gold_Reward_Step2_Large	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													NeoGoldReward_Large	300	400	1		9	12		
Neo_Gold_Reward_Step2_Huge	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													NeoGoldReward_Huge	500	550	1		9	12		
Neo_Gold_Reward_Step2_Insane	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			9																													NeoGoldReward_Insane	700	800	1		9	12		
Neo_Gold_Reward_Step3_Tiny	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													NeoGoldReward_Tiny	80	120	1		13	15		
Neo_Gold_Reward_Step3_Small	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													NeoGoldReward_Small	200	300	1		13	15		
Neo_Gold_Reward_Step3_Medium	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													NeoGoldReward_Medium	350	450	1		13	15		
Neo_Gold_Reward_Step3_Large	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													NeoGoldReward_Large	500	700	1		13	15		
Neo_Gold_Reward_Step3_Huge	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													NeoGoldReward_Huge	1000	1200	1		13	15		
Neo_Gold_Reward_Step3_Insane	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			13																													NeoGoldReward_Insane	1400	1500	1		13	15		
Neo_Gold_Reward_Step4_Tiny	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													NeoGoldReward_Tiny	120	160	1		16			
Neo_Gold_Reward_Step4_Small	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													NeoGoldReward_Small	200	400	1		16			
Neo_Gold_Reward_Step4_Medium	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													NeoGoldReward_Medium	500	600	1		16			
Neo_Gold_Reward_Step4_Large	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													NeoGoldReward_Large	100	1200	1		16			
Neo_Gold_Reward_Step4_Huge	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													NeoGoldReward_Huge	2000	2400	1		16			
Neo_Gold_Reward_Step4_Insane	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			16																													NeoGoldReward_Insane	2800	3000	1		16			
GoldReward	Gold	1c3c9c74-34a1-4685-989e-410dc080be6f			1																													GoldReward	1000	1000	1		1			
_Generics			Item	1	1	0																				BleedingImmunity;SleepingImmunity;PoisonImmunity;SlowedImmunity;KnockdownImmunity;CrippledImmunity;BlindImmunity;FearImmunity;CharmImmunity	Auto															
LOOT_Handkerchief_A	_Generics	06116808-84b0-4532-8f5c-7cc3347ee365			1		1	20																			Misc							Junk	1	1	1		1			
LOOT_Rope_A	_Generics	49c62b2d-cb7b-4a94-b27d-82ce94ccb830			1		1	20																			Ingredient							Junk	1	1	1		1			
JUNK_FishSkeleton_A	_Generics	f80baa33-442d-443d-b573-cd5169473147			1		0	5																			Auto							Junk	1	1	1		1			
LOOT_DirtySocks_A	_Generics	714fcfaf-3cbd-4b93-8e70-6aba24dbe866			1		0	10																			Auto							Junk	1	1	2		1			
LOOT_Panties_A	_Generics	ef63b8b7-6454-4662-9b37-bf7111a53949			1		0	10																			Auto							Junk	1	1	1		1			
LOOT_ClawFinger_A	_Generics	0015ef0b-37f8-496b-b399-c9915d6127d9			5		100	30																			Magical															
LOOT_Bedlinen_Folded_A	_Generics	6e309e72-42ad-4a71-b482-bc6324accf30			1		0	200																			Auto												9			
LOOT_Needle_A	_Generics	f2fa110e-3302-4d2f-8260-2dfad0d4eaa9			1		1	10																			Ingredient							Junk	1	1	3		1			
LOOT_Thread_A	_Generics	2a2a5ed8-cba0-4648-b43a-a740d6cfb64b			1		1	10																			Ingredient							Junk	1	1	3		1	8		
LOOT_Needle_Thread_A	_Generics	e0f0d8ef-73e9-444a-9e6a-84c6d3b7d2d0			1		2	10																			Ingredient															
LOOT_Hide_Animal_A	_Generics	a45fcb80-82b1-4d78-ad4d-526497d8503a			3		8	200																			Ingredient							Junk	1	1	3		1			
LOOT_WoodenStick_A	_Generics	eb9f7bf7-fbef-4fe7-beaa-67fb1aabbb9f			2		0	100	Wood																		Ingredient							Junk	1	1	3		1			
LOOT_WoodenBranch_A	_Generics	f58f7fc1-adad-40a2-97a4-c009394a1027			2		0	200	Wood																		Ingredient							Junk	1	1	3		1			
LOOT_MetalShard_A	_Generics	e03d9c50-e693-4919-9329-030f6ff1f680			2		0	100	Metal																		Ingredient							Junk	1	1	1		1			
LOOT_PieceOfRock_A	_Generics	220ce08e-b919-40d7-ac5b-81793a786dbf			2		0	150	Rock																		Ingredient							Junk	1	1	1		1			
LOOT_Scraps_Cloth_A	_Generics	2102b5b2-5613-4a66-8d47-bb15b47a5c18			3		4	200																			Ingredient							Junk	1	1	1		1			
LOOT_Scraps_Leather_A	_Generics	ec275254-f04d-4dfe-9470-2dcaf9636d30			3		6	300																			Ingredient							Junk	1	1	1		1			
LOOT_Scraps_Metal_A	_Generics	ed2577a4-5485-46fe-9ab6-46d5e044ab0c			9		30	400	Metal																		Ingredient							Junk	1	1	1		9			
LOOT_Scraps_Plate_A	_Generics	2db45adc-65d6-4805-8177-86d0eda6cb57			9		50	400	Metal																		Ingredient							Junk	1	1	1		9			
LOOT_Scraps_Scale_A	_Generics	709cb03e-802d-46bf-9ffd-2ad035cf8e30			9		40	400	Metal																		Ingredient							Junk	1	1	1		9			
LOOT_Slime_A	_Generics	e0e105dc-7807-4612-b4f6-16d4308e9d50			9		5	20																			Ingredient							IngredientLate	1	1	1		12			
LOOT_Clay_A	_Generics	e0e105dc-7807-4612-b4f6-16d4308e9d50			9		1	20																			Ingredient							IngredientLate	1	1	1		12			
LOOT_Candle_A	_Generics	3ea7300e-b933-4f4e-a659-e27f092c65a5			1		0	20																		Torch	Misc							Junk	1	1	1		9			
LOOT_AtaraxianArtifacts_A	_Generics	629fdb6d-a88e-4a62-83a7-c4f4b3655d81			16		700	1000	AtaraxianArtifact																		Ingredient												15	20		
LOOT_AtaraxianArtifacts_B	_Generics	1d838f3b-dc81-45e3-855d-4adc7d127042			16		150	1500	AtaraxianArtifact																		Misc												15	20		
LOOT_AtaraxianArtifacts_C	_Generics	ad6f95cf-8280-43d7-b329-7bdf7689d6a7			16		350	400	AtaraxianArtifact																		Ingredient												15	20		
LOOT_VoidEggSpike_A	_Generics	1aa757a1-3554-4c74-90fa-d5b10e9b7e46			9		50	50																			Ingredient															
FUR_Bucket_A_Water	_Generics	bb04d5c3-0f20-492b-b5fa-8aa05dc7397e			2		0	2000																			Ingredient							Junk	1	1	1		9			
FUR_Bucket_A_Milk	_Generics	361f3611-b117-43cb-9095-29d53acd5000			2		0	2000																			Ingredient							Junk	1	1	1		13			
CON_Potion_Empty_A	_Generics	cd6e86ca-e9be-444e-a7df-d295ec6bb578			1		10	100																			Ingredient							IngredientEarly	1	3	12		1			
ITEM_Log	_Generics	1344f822-55d7-4efe-b8d5-ce4cfbccc3db					1	500	Wood																		Ingredient							Wood	1	1	1		1			
LOOT_Lab_Jar	_Generics	a6710a37-8c5d-49f2-a46e-c6a3b6c09c87					0	500																										Junk	1	1	1		1			
LAB_MortarPestle_A	_Generics	e834444d-cdb9-42ad-8fd4-71bb22126f72			3		4	500																			Ingredient							Junk	1	1	1		3			
ITEM_Nails	_Generics	fa60597a-4853-4556-92a5-e4168d3e36bb					1	100																			Ingredient							Junk	1	1	2		1			
ITEM_Soap	_Generics	eda48b44-7f26-4922-84bf-85725ef067c1					1	50																										Junk	1	1	2		1			
ITEM_Pillow	_Generics	c6080431-3651-4378-9b04-93cc30899351					0	50																										Junk	1	1	1		1			
ITEM_BrokenBottle	_Generics	ea3b0ed8-7c14-4d0e-97d0-4d3343e60e51					0	10																										Junk	1	1	3		1			
ITEM_CookingPot	_Generics	792f35b4-e700-434d-8feb-a1af3f35a034					4	400																			Ingredient							Junk	1	1	3		1			
FUR_WashBoard_A	_Generics	25326506-a535-4b1d-a6cd-8f7dde73e29a					0	500	Wood																									Junk	1	1	1		1			
FUR_WashTub_A	_Generics	ce51c7de-046e-405b-8bc1-1a5a8472ca64					0	20000																																		
FUR_WashTubBoard_A	_Generics	1946b814-80de-41e1-99a8-8ba30fc37758					0	20500																			Ingredient															
ITEM_EmptyBottle	_Generics	8909d2e0-577d-4780-861b-02aa1257f247					1	100																										Junk	1	1	3		1			
ITEM_Bowl	_Generics	aeb79511-a929-43b4-9734-7e62da001c2b					0	100																										Junk	1	1	1		1			
CON_Drink_Cup_A_Empty	_Generics	bb6e5fbd-6adc-406b-978a-214a8c178cbb					0	50	CupEmpty																		Ingredient							Junk	1	1	2		1			
CON_Drink_Mug_A_Empty	_Generics	1f0af24d-da1f-46b0-a922-3f07d547a93d					0	50	CupEmpty																		Ingredient							Junk	1	1	2		1			
ITEM_Spoon	_Generics	99b1b7d4-2d41-4b5c-a40d-af999be4769a					0	10	Spoon,Wood																									Junk	1	1	2		1			
LOOT_Jar_A	_Generics	cba10ad1-68ca-4be3-a7eb-f7ef8a0066e7					0	30																			Ingredient							Junk	1	1	1		1			
ITEM_Ceramic_Plate_A	_Generics	185d7d58-6e5f-4d9d-8fea-fafc3b3ebc27			1		0	200																										Junk	1	1	3		1			
ITEM_Ceramic_Pot_A	_Generics	cd69c666-426c-4e6b-9cf4-b55777d73d2f			1		0	300																										Junk	1	1	3		1			
ITEM_Jug	_Generics	6227d1ca-e3f0-494e-8a8d-0de9db84a063			1		0	100																										Junk	1	1	1		1			
ITEM_Jug_B	_Generics	29c68059-e62e-44ae-b79a-ee9eb54801e8			1		0	100																										Junk	1	1	1		1			
ITEM_Jug_C	_Generics	c7d37d92-4aab-4e7b-8e74-c1c89a7ad6db			1		0	100																										Junk	1	1	1		1			
ITEM_CuttingBoard	_Generics	1e55eb38-9e3a-4144-9b07-b865fc982a82			1		0	100	Wood																									Junk	1	1	2		1			
FUR_Cutlery_Fork_A	_Generics	59774178-806d-444a-8ca5-2a2af2254550			1		0	50																										Junk	1	1	2		1			
CONT_Backpack_A	_Generics	6c70c298-aa29-418f-a659-f8e0b5f5fa60			9		20	1000																			Misc							Junk	1	1	1		9			
CONT_Backpack_Junk	_Generics	6c70c298-aa29-418f-a659-f8e0b5f5fa60			1		1	1000																			Misc															
CONT_Backpack_A_SourceHunter	_Generics	9fb941f3-4630-4646-87d5-7c471822fcea			1		1	1000																			Misc															
LOOT_Scraps_Wood_A	_Generics	cbf334fb-7851-4502-b0c5-fc1c5b5b3f7a			1		0	20	Wood																									Wood	1	1	1		1			
LOOT_Scraps_Wood_A_Mush	_Generics	cd1bedee-1d7a-44c5-839f-a1c04c633222			2		0	20																																		
TOOL_Trap_DisarmToolkit	_Generics	9fda335e-2220-4ae9-a4c2-2424d5ef5165			3		40	500																										Tool	1	1	3		1			
TOOL_RepairHammer	_Generics	be7226da-7211-4250-be95-ca780bcdb3df			3		30	500	Hammer																		Equipment							Tool	1	1	1		1			
TOOL_Tong_A	_Generics	8955f424-b4ef-402b-8940-013ca9c409d6			1		31	500																										Junk	1	1	1		1			
TOOL_Lockpick	_Generics	06d0eecb-4271-42a7-bd8c-4cbf24927197			3		14	100																										Tool	1	1	3		1			
TOOL_IdentifyingGlass	_Generics	32288ce4-3d8d-46b3-a655-598350a96201			3		42	200																			Equipment							Tool	1	1	1		1			
LOOT_String_Bow_A	_Generics	55e72bf3-5546-42b8-9e5c-83d976046ca3			1		10	10																			Ingredient							Junk	1	1	1		1	4		
_RAANAAR																																										
FUR_Raanaar_Tablet_A	_Generics	70e9517a-6dba-4956-8a36-8fd6f4c0f386			10		0	500	RaanaarPlate																									RaanaarJunk	1	1	3		1			
FUR_Raanaar_Plate_A	_Generics	e98ad173-0279-4065-8a2d-4a7542c38e4a			10		0	300	RaanaarPlate																									RaanaarJunk	1	1	3		1			
FUR_Raanaar_Cup_A	_Generics	0413e6c5-a46c-47b8-b360-7c3618c2944f			10		0	150																										RaanaarJunk	1	1	3		1			
_PRECIOUS_ITEMS																																										
ITEM_SpoonGold	_Generics	68997012-b4a2-4ef3-bd9c-d833d99799ad			1		20	20	Spoon,Gold																									Precious	1	1	1		1	4		
ITEM_Rich_Cup_A_Silver	_Generics	2ba8f81d-34fc-4466-991c-2b14ed959c16			5		35	70	Metal																									Precious	1	1	1		5	8		
ITEM_Rich_Glass_A_Silver	_Generics	87d43296-da37-4dba-b8ea-de7f8ecb2f5f			9		75	30	Metal																									Precious	1	1	1		9	12		
ITEM_EmptyCupGold	_Generics	01603339-918f-4b2a-bfe7-167f7da1dc67			13		125	200	Gold																									Precious	1	1	1		13	15		
ITEM_Rich_Glass_A	_Generics	f707e502-15a7-4293-8597-136ce670c9af			16		250	50																										Precious	1	1	1		16			
ITEM_Rich_Plate_A_Silver	_Generics	08360ce5-3e12-4b63-97e1-512090b1ee80			1		45	150	Metal																									Precious	1	1	1		1	4		
ITEM_Rich_Plate_A	_Generics	12e7456f-5d79-4f3e-954c-16ffd1b0fde9			5		70	50	Gold																									Precious	1	1	1		5	8		
ITEM_Rich_Pitcher_A	_Generics	37ef1415-3a5a-436a-85af-9e49c879a4db			9		175	300																										Precious	1	1	1		9	12		
ITEM_Rich_Plate_B	_Generics	a438862b-8e05-436c-8ce8-df5cc1e03e99			13		280	80	Gold																									Precious	1	1	1		13			
LOOT_Gems_Malachite	_Generics	18d60794-7a0d-4ec8-a6a2-2b891c1cea79			1		70	100																										Precious	1	1	1		1	4		
HAR_Pearl_A	_Generics	1bde972a-fcdf-4d63-8227-955437cc8255			5		120	20	Pearl																									Precious	1	1	1		5	8		
LOOT_Ruby_A	_Generics	7f54ce52-9fb5-4c57-9223-d6772930ec35			9		270	50	Ruby																									Precious	1	1	1		9	12		
LOOT_Gems_Crystal	_Generics	7cdc799c-54cf-4f98-9285-980fa83170bc			13		430	100																										Precious	1	1	1		13	15		
LOOT_Gems_Diamond	_Generics	7e24b009-f2bc-47c0-a635-b776407833aa			16		800	100																										Precious	1	1	1		16	17		
LOOT_Gems_Diamond_B	_Generics	e4cd3e00-f9b6-4775-9d0f-249f5be9185b			18		1100	100																										Precious	1	1	1		18			
LOOT_Gems_Malachite_VW	_Generics	3c8575f5-ca6e-4b5c-b09a-79b8fa28f33c			1		15	50																										VoidWokenGem	1	1	2		1	4		
HAR_Pearl_A_VW	_Generics	d7f1379e-0b8b-42cc-9f28-0266f0555fe2			5		25	20	Pearl																									VoidWokenGem	1	1	2		5	8		
LOOT_Ruby_A_VW	_Generics	2cafb272-ca4d-4e59-b577-488e32f2a994			9		60	50	Ruby																									VoidWokenGem	1	1	2		9	12		
LOOT_Gems_Crystal_VW	_Generics	b6226293-58c7-4457-9084-cce775f24446			13		95	100																										VoidWokenGem	1	1	2		13	15		
LOOT_Gems_Diamond_VW	_Generics	c9dd6553-887a-4e87-bf87-404b3c0e967f			16		175	100																										VoidWokenGem	1	1	2		16	17		
LOOT_Gems_Diamond_B_VW	_Generics	94933c36-393e-4077-abec-95e04341fc92			18		230	100																										VoidWokenGem	1	1	2		18			
_Paintings			Item	1	1	0								10												StunImmunity;PoisonImmunity;CharmImmunity;FearImmunity;KnockdownImmunity;MuteImmunity;BleedingImmunity;CrippledImmunity;BlindImmunity;WeakImmunity;SlowedImmunity;DiseasedImmunity;InfectiousDiseasedImmunity	Auto															
FUR_Humans_Painting_Worthless	_Paintings				1		0	1000						1																												
FUR_Humans_Painting_A	_Paintings	8b6b3cbc-9de8-424e-941f-f5b4f3184661			1		40	1000																										Painting	1	1	1		1	3		
FUR_Humans_Painting_B	_Paintings	37046c6c-17c3-4b1d-a561-3bb87b83f30c			4		68	1000																										Painting	1	1	1		5	5		
FUR_Humans_Painting_C	_Paintings	286bb46d-5dd4-40c7-9dc9-eb48e3b41dd4			6		72	1000																										Painting	1	1	1		6	7		
FUR_Humans_Painting_D	_Paintings	0eb450af-0137-4d97-aa98-b0b66e5dcc42			7		74	1000																										Painting	1	1	1		7	8		
FUR_Humans_Painting_E	_Paintings	2a53486a-f4ba-43c5-b77d-0d7ff9227c23			8		78	1000																										Painting	1	1	1		8	9		
FUR_Humans_Painting_F	_Paintings	c0707556-0cef-4a5f-b468-0524b3542dc3			9		83	1000																										Painting	1	1	1		9	10		
FUR_Humans_Painting_G	_Paintings	5cbc9934-942c-4afe-82c0-1acfbad583ea			10		86	1000																										Painting	1	1	1		10	11		
FUR_Humans_Painting_H	_Paintings	138e1e21-4314-4085-b853-e7221c64d21d			11		89	1000																										Painting	1	1	1		11	12		
FUR_Humans_Painting_J	_Paintings	1f9f0513-aa72-43f5-aebc-973b19632d2b			12		94	1000																										Painting	1	1	1		13	13		
FUR_Humans_Painting_M	_Paintings	a57d2281-c794-4af5-b44d-368b806726fe			13		98	1000																										Painting	1	1	1		13	14		
FUR_Humans_Painting_N	_Paintings	2ff2f4e3-893b-40be-9a64-2a405caca562			14		105	1000																										Painting	1	1	1		14	15		
FUR_Humans_Painting_O	_Paintings	2f3200c5-549a-4234-ba0e-df1edc957bf9			15		109	1000																										Painting	1	1	1		15	16		
FUR_Humans_Painting_P	_Paintings	d38a4183-0cba-46e1-8285-2d42e8960711			16		113	1000																										Painting	1	1	1		16	17		
FUR_Humans_Painting_Q	_Paintings	57b2c774-66c8-43c0-b4d2-36ca1a51d5eb			17		119	1000																										Painting	1	1	1		17	18		
FUR_Humans_Painting_T	_Paintings	b3170d5d-19dd-498d-be5e-585ef24963a6			18		121	1000																										Painting	1	1	1		18	19		
FUR_Humans_Painting_Tempest	_Paintings	fe75b0fa-1e43-4247-a528-c9af9731a233			19		130	1000																										Painting	1	1	1		19			
FUR_Humans_Painting_Leviathan	_Paintings	92bcd828-8899-4274-9c33-1b4ed5d925b8			20		135	1000																										Painting	1	1	1		20			
FUR_Humans_Painting_HeroArmor	_Paintings	2a1774ac-41a7-4e9e-9607-4a0525abd653			20		200	20000																																		
FUR_Humans_Painting_Apollo	_Paintings	a601ae63-f1cd-4c57-b144-65023699c609			20		200	20000																																		
FUR_Humans_Painting_I	_Paintings	89695802-a55d-4e53-b15b-1e7e77b7f855			7		178	20000																																		
FUR_Humans_Painting_K	_Paintings	169d8212-9b88-4637-a7b6-7640faea6628			13		164	150000																																		
FUR_Humans_Painting_L	_Paintings	2ac8eff3-c582-499b-97ac-e605fd0f0396			13		158	150000																																		
FUR_Humans_Painting_R	_Paintings	75671287-e43b-4127-ac33-285853c94f63			13		162	150000																																		
FUR_Humans_Painting_S	_Paintings	9753f141-0051-489d-8048-6f8b0a5aa203			13		149	150000																																		
FUR_Humans_Painting_Church_I	_Paintings	fd236ddb-9d72-4784-b22e-17d32638c3ed			13		200	5000									1000																									
FUR_Humans_Painting_Church_J	_Paintings	10c3101e-c8c2-495c-9c2c-6cba375244b5			13		200	150000																																		
FUR_Humans_Painting_Pig	_Paintings				1		81	1000																																		
_SCROLL_INGREDIENTS_EA																																										
BOOK_Paper_Sheet_A	_Generics	f0872b5d-ee7a-43f9-a63e-e3200abdb1a3			1		15	10																										IngredientEarly	1	3	4		1			
LOOT_Tooth_A	_Generics	1688a197-3081-4de2-ad66-37ab3f0ba14e			1		35	0	Tooth																		Ingredient							IngredientEarly	1	1	1		1			
LOOT_Tooth_A_Sharp	_Generics	1688a197-3081-4de2-ad66-37ab3f0ba14e			13		180	0	Tooth																		Ingredient							IngredientLate	1	1	1		12			
LOOT_Claw_A	_Generics	b6468ac7-4d87-431f-aba7-1bec96596943			1		40	50																			Ingredient							IngredientEarly	1	1	1		1			
LOOT_Claw_A_Sharp	_Generics	b6468ac7-4d87-431f-aba7-1bec96596943			9		105	50																			Ingredient							IngredientMid	1	1	1		8			
LOOT_Tusk_A	_Generics	0af953f1-9afb-4da0-8527-9ee0a5ecc450			1		50	100																			Ingredient							IngredientEarly	1	1	1		1			
LOOT_Antler_A	_Generics	423d4d3c-d8d6-41e2-9d3d-7f1503f07a46			1		70	1000																			Ingredient							IngredientEarly	1	1	1		1			
LOOT_Antler_A_Adult	_Generics	423d4d3c-d8d6-41e2-9d3d-7f1503f07a46			9		100	1200																			Ingredient							IngredientMid	1	1	1		8			
LOOT_Tusk_A_Large	_Generics	0af953f1-9afb-4da0-8527-9ee0a5ecc450			13		200	100																			Ingredient							IngredientLate	1	1	1		12			
HAR_Fish_Star	_Generics	77077fc8-470c-483d-bb13-fa506cfcf229			9		100	10																			Ingredient							IngredientMid	1	1	1		8			
LOOT_Feather_A	_Generics	f1ec83f6-2195-4d62-8b20-c4252e036a1c			5		1	10	Feather																		Ingredient							IngredientSwamps	1	1	1		4			
LOOT_Paw_A_Rabbit_A	_Generics	b4ed739a-fad9-4431-840c-412d4773f868			1		35	20																			Ingredient							IngredientEarly	1	1	1		1			
LOOT_Hair_A	_Generics	da4d7e54-a2fb-436e-bb5f-30d4116896f2			9		1	10																			Ingredient							Junk	1	1	1		9			
LOOT_Wool_A	_Generics	e6df557c-3bcb-42bf-8817-de282c64f16f			9		1	50																			Ingredient							Junk	1	1	1		9			
LOOT_Yarn_A_Wool_A	_Generics	96f474d0-4778-4386-9ee6-1eb2fd59f1f1			9		4	150																			Ingredient							Junk	1	1	1		13			
LOOT_Skull_Bird_A	_Generics	631b3963-2d53-44b7-902d-7c6ab0b25dbb			1		10	10	Bone																		Ingredient							IngredientEarly	1	1	1		5			
LOOT_Skull_Human_A	_Generics	04de9db3-fae1-40f3-90d2-7e1fdb2f4f65			5		60	500	Bone																		Ingredient							IngredientSwamps	1	1	1		4			
TOOL_Figurine_Wood_A	_Generics	611fd265-d4a9-421d-bccc-11928510724a			1		120	30	Wood																									IngredientEarly	1	1	1		1			
