Name	Parent	RecipeCategory	CraftingStation	Type 1	Object 1	Transform 1	Type 2	Object 2	Transform 2	Type 3	Object 3	Transform 3	Type 4	Object 4	Transform 4	Type 5	Object 5	Transform 5	AutoLevel	Requirement	ReqLevel	ResultAmount 1	Result 1	Boost 1	ResultAmount 2	Result 2	Boost 2	ResultAmount 3	Result 3	Boost 3	PreviewStatsID	PreviewIcon	PreviewTooltip	Comment	
LOOT_Rune_Frost_Small_LOOT_Rune_Frost_Small		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Frost_Small	Consume	Object	LOOT_Rune_Frost_Small	Transform											LOOT_Rune_Frost_Medium								LOOT_Rune_Frost_Medium				
LOOT_Rune_Rock_Small_LOOT_Rune_Rock_Small		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Rock_Small	Consume	Object	LOOT_Rune_Rock_Small	Transform											LOOT_Rune_Rock_Medium								LOOT_Rune_Rock_Medium				
LOOT_Rune_Venom_Small_LOOT_Rune_Venom_Small		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Venom_Small	Consume	Object	LOOT_Rune_Venom_Small	Transform											LOOT_Rune_Venom_Medium								LOOT_Rune_Venom_Medium				
LOOT_Rune_Masterwork_Small_LOOT_Rune_Masterwork_Small		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Masterwork_Small	Consume	Object	LOOT_Rune_Masterwork_Small	Transform											LOOT_Rune_Masterwork_Medium								LOOT_Rune_Masterwork_Medium				
LOOT_Rune_Flame_Medium_LOOT_Rune_Flame_Medium		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Flame_Medium	Consume	Object	LOOT_Rune_Flame_Medium	Transform											LOOT_Rune_Flame_Large								LOOT_Rune_Flame_Large				
LOOT_Rune_Thunder_Medium_LOOT_Rune_Thunder_Medium		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Thunder_Medium	Consume	Object	LOOT_Rune_Thunder_Medium	Transform											LOOT_Rune_Thunder_Large								LOOT_Rune_Thunder_Large				
LOOT_Rune_Frost_Medium_LOOT_Rune_Frost_Medium		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Frost_Medium	Consume	Object	LOOT_Rune_Frost_Medium	Transform											LOOT_Rune_Frost_Large								LOOT_Rune_Frost_Large				
LOOT_Rune_Rock_Medium_LOOT_Rune_Rock_Medium		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Rock_Medium	Consume	Object	LOOT_Rune_Rock_Medium	Transform											LOOT_Rune_Rock_Large								LOOT_Rune_Rock_Large				
LOOT_Rune_Venom_Medium_LOOT_Rune_Venom_Medium		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Venom_Medium	Consume	Object	LOOT_Rune_Venom_Medium	Transform											LOOT_Rune_Venom_Large								LOOT_Rune_Venom_Large				
LOOT_Rune_Masterwork_Medium_LOOT_Rune_Masterwork_Medium		Runes		Object	TOOL_Pouch_Dust_Pixie_A	Consume	Object	LOOT_Rune_Masterwork_Medium	Consume	Object	LOOT_Rune_Masterwork_Medium	Transform											LOOT_Rune_Masterwork_Large								LOOT_Rune_Masterwork_Large				
LOOT_Rune_Flame_Large_LOOT_Rune_Flame_Large		Runes		Object	TOOL_Pouch_Dust_Pixie_B	Consume	Object	LOOT_Rune_Flame_Large	Consume	Object	LOOT_Rune_Flame_Large	Transform											LOOT_Rune_Flame_Giant								LOOT_Rune_Flame_Giant				
LOOT_Rune_Thunder_Large_LOOT_Rune_Thunder_Large		Runes		Object	TOOL_Pouch_Dust_Pixie_B	Consume	Object	LOOT_Rune_Thunder_Large	Consume	Object	LOOT_Rune_Thunder_Large	Transform											LOOT_Rune_Thunder_Giant								LOOT_Rune_Thunder_Giant				
LOOT_Rune_Frost_Large_LOOT_Rune_Frost_Large		Runes		Object	TOOL_Pouch_Dust_Pixie_B	Consume	Object	LOOT_Rune_Frost_Large	Consume	Object	LOOT_Rune_Frost_Large	Transform											LOOT_Rune_Frost_Giant								LOOT_Rune_Frost_Giant				
LOOT_Rune_Rock_Large_LOOT_Rune_Rock_Large		Runes		Object	TOOL_Pouch_Dust_Pixie_B	Consume	Object	LOOT_Rune_Rock_Large	Consume	Object	LOOT_Rune_Rock_Large	Transform											LOOT_Rune_Rock_Giant								LOOT_Rune_Rock_Giant				
LOOT_Rune_Venom_Large_LOOT_Rune_Venom_Large		Runes		Object	TOOL_Pouch_Dust_Pixie_B	Consume	Object	LOOT_Rune_Venom_Large	Consume	Object	LOOT_Rune_Venom_Large	Transform											LOOT_Rune_Venom_Giant								LOOT_Rune_Venom_Giant				
LOOT_Rune_Masterwork_Large_LOOT_Rune_Masterwork_Large		Runes		Object	TOOL_Pouch_Dust_Pixie_B	Consume	Object	LOOT_Rune_Masterwork_Large	Consume	Object	LOOT_Rune_Masterwork_Large	Transform											LOOT_Rune_Masterwork_Giant								LOOT_Rune_Masterwork_Giant				
LOOT_Rune_Flame_Small_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Flame_Small	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Flame_Small_Framed_Power								LOOT_Rune_Flame_Small_Framed_Power				
LOOT_Rune_Flame_Medium_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Flame_Medium	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Flame_Medium_Framed_Power								LOOT_Rune_Flame_Medium_Framed_Power				
LOOT_Rune_Flame_Large_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Flame_Large	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Flame_Large_Framed_Power								LOOT_Rune_Flame_Large_Framed_Power				
LOOT_Rune_Flame_Giant_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Flame_Giant	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Flame_Giant_Framed_Power								LOOT_Rune_Flame_Giant_Framed_Power				
LOOT_Rune_Frost_Small_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Frost_Small	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Frost_Small_Framed_Power								LOOT_Rune_Frost_Small_Framed_Power				
LOOT_Rune_Frost_Medium_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Frost_Medium	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Frost_Medium_Framed_Power								LOOT_Rune_Frost_Medium_Framed_Power				
LOOT_Rune_Frost_Large_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Frost_Large	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Frost_Large_Framed_Power								LOOT_Rune_Frost_Large_Framed_Power				
LOOT_Rune_Frost_Giant_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Frost_Giant	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Frost_Giant_Framed_Power								LOOT_Rune_Frost_Giant_Framed_Power				
LOOT_Rune_Thunder_Small_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Thunder_Small	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Thunder_Small_Framed_Power								LOOT_Rune_Thunder_Small_Framed_Power				
LOOT_Rune_Thunder_Medium_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Thunder_Medium	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Thunder_Medium_Framed_Power								LOOT_Rune_Thunder_Medium_Framed_Power				
LOOT_Rune_Thunder_Large_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Thunder_Large	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Thunder_Large_Framed_Power								LOOT_Rune_Thunder_Large_Framed_Power				
LOOT_Rune_Thunder_Giant_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Thunder_Giant	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Thunder_Giant_Framed_Power								LOOT_Rune_Thunder_Giant_Framed_Power				
LOOT_Rune_Rock_Small_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Rock_Small	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Rock_Small_Framed_Power								LOOT_Rune_Rock_Small_Framed_Power				
LOOT_Rune_Rock_Medium_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Rock_Medium	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Rock_Medium_Framed_Power								LOOT_Rune_Rock_Medium_Framed_Power				
LOOT_Rune_Rock_Large_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Rock_Large	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Rock_Large_Framed_Power								LOOT_Rune_Rock_Large_Framed_Power				
LOOT_Rune_Rock_Giant_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Rock_Giant	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Rock_Giant_Framed_Power								LOOT_Rune_Rock_Giant_Framed_Power				
LOOT_Rune_Venom_Small_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Venom_Small	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Venom_Small_Framed_Power								LOOT_Rune_Venom_Small_Framed_Power				
LOOT_Rune_Venom_Medium_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Venom_Medium	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Venom_Medium_Framed_Power								LOOT_Rune_Venom_Medium_Framed_Power				
LOOT_Rune_Venom_Large_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Venom_Large	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Venom_Large_Framed_Power								LOOT_Rune_Venom_Large_Framed_Power				
LOOT_Rune_Venom_Giant_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Venom_Giant	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Venom_Giant_Framed_Power								LOOT_Rune_Venom_Giant_Framed_Power				
LOOT_Rune_Masterwork_Small_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Masterwork_Small	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Masterwork_Small_Framed_Power								LOOT_Rune_Masterwork_Small_Framed_Power				
LOOT_Rune_Masterwork_Medium_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Masterwork_Medium	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Masterwork_Medium_Framed_Power								LOOT_Rune_Masterwork_Medium_Framed_Power				
LOOT_Rune_Masterwork_Large_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Masterwork_Large	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Masterwork_Large_Framed_Power								LOOT_Rune_Masterwork_Large_Framed_Power				
LOOT_Rune_Masterwork_Giant_LOOT_Rune_Frame_Power		Runes		Object	LOOT_Rune_Masterwork_Giant	Consume	Object	LOOT_Rune_Frame_Power	Transform														LOOT_Rune_Masterwork_Giant_Framed_Power								LOOT_Rune_Masterwork_Giant_Framed_Power				
LOOT_Rune_Flame_Small_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Flame_Small	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Flame_Small_Framed_Transforming								LOOT_Rune_Flame_Small_Framed_Transforming				
LOOT_Rune_Flame_Medium_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Flame_Medium	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Flame_Medium_Framed_Transforming								LOOT_Rune_Flame_Medium_Framed_Transforming				
LOOT_Rune_Flame_Large_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Flame_Large	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Flame_Large_Framed_Transforming								LOOT_Rune_Flame_Large_Framed_Transforming				
LOOT_Rune_Flame_Giant_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Flame_Giant	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Flame_Giant_Framed_Transforming								LOOT_Rune_Flame_Giant_Framed_Transforming				
LOOT_Rune_Frost_Small_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Frost_Small	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Frost_Small_Framed_Transforming								LOOT_Rune_Frost_Small_Framed_Transforming				
LOOT_Rune_Frost_Medium_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Frost_Medium	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Frost_Medium_Framed_Transforming								LOOT_Rune_Frost_Medium_Framed_Transforming				
LOOT_Rune_Frost_Large_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Frost_Large	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Frost_Large_Framed_Transforming								LOOT_Rune_Frost_Large_Framed_Transforming				
LOOT_Rune_Frost_Giant_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Frost_Giant	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Frost_Giant_Framed_Transforming								LOOT_Rune_Frost_Giant_Framed_Transforming				
LOOT_Rune_Thunder_Small_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Thunder_Small	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Thunder_Small_Framed_Transforming								LOOT_Rune_Thunder_Small_Framed_Transforming				
LOOT_Rune_Thunder_Medium_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Thunder_Medium	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Thunder_Medium_Framed_Transforming								LOOT_Rune_Thunder_Medium_Framed_Transforming				
LOOT_Rune_Thunder_Large_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Thunder_Large	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Thunder_Large_Framed_Transforming								LOOT_Rune_Thunder_Large_Framed_Transforming				
LOOT_Rune_Thunder_Giant_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Thunder_Giant	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Thunder_Giant_Framed_Transforming								LOOT_Rune_Thunder_Giant_Framed_Transforming				
LOOT_Rune_Rock_Small_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Rock_Small	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Rock_Small_Framed_Transforming								LOOT_Rune_Rock_Small_Framed_Transforming				
LOOT_Rune_Rock_Medium_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Rock_Medium	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Rock_Medium_Framed_Transforming								LOOT_Rune_Rock_Medium_Framed_Transforming				
LOOT_Rune_Rock_Large_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Rock_Large	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Rock_Large_Framed_Transforming								LOOT_Rune_Rock_Large_Framed_Transforming				
LOOT_Rune_Rock_Giant_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Rock_Giant	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Rock_Giant_Framed_Transforming								LOOT_Rune_Rock_Giant_Framed_Transforming				
LOOT_Rune_Venom_Small_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Venom_Small	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Venom_Small_Framed_Transforming								LOOT_Rune_Venom_Small_Framed_Transforming				
LOOT_Rune_Venom_Medium_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Venom_Medium	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Venom_Medium_Framed_Transforming								LOOT_Rune_Venom_Medium_Framed_Transforming				
LOOT_Rune_Venom_Large_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Venom_Large	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Venom_Large_Framed_Transforming								LOOT_Rune_Venom_Large_Framed_Transforming				
LOOT_Rune_Venom_Giant_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Venom_Giant	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Venom_Giant_Framed_Transforming								LOOT_Rune_Venom_Giant_Framed_Transforming				
LOOT_Rune_Masterwork_Small_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Masterwork_Small	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Masterwork_Small_Framed_Transforming								LOOT_Rune_Masterwork_Small_Framed_Transforming				
LOOT_Rune_Masterwork_Medium_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Masterwork_Medium	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Masterwork_Medium_Framed_Transforming								LOOT_Rune_Masterwork_Medium_Framed_Transforming				
LOOT_Rune_Masterwork_Large_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Masterwork_Large	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Masterwork_Large_Framed_Transforming								LOOT_Rune_Masterwork_Large_Framed_Transforming				
LOOT_Rune_Masterwork_Giant_LOOT_Rune_Frame_Transforming		Runes		Object	LOOT_Rune_Masterwork_Giant	Consume	Object	LOOT_Rune_Frame_Transforming	Transform														LOOT_Rune_Masterwork_Giant_Framed_Transforming								LOOT_Rune_Masterwork_Giant_Framed_Transforming				
POTION_Minor_Healing_Potion_POTION_Minor_Healing_Potion		Potions		Object	POTION_Minor_Healing_Potion	Transform	Object	CON_Herb_Augmentor_A	Consume														POTION_Medium_Healing_Potion								POTION_Medium_Healing_Potion				
POTION_Medium_Healing_Potion_POTION_Medium_Healing_Potion		Potions		Object	POTION_Medium_Healing_Potion	Transform	Object	CON_Herb_Augmentor_A	Consume														POTION_Large_Healing_Potion								POTION_Large_Healing_Potion				
POTION_Minor_Healing_Potion_POTION_Minor_Healing_Potion_Step2		Potions		Object	POTION_Minor_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														POTION_Medium_Healing_Potion								POTION_Medium_Healing_Potion				
POTION_Medium_Healing_Potion_POTION_Medium_Healing_Potion_Step2		Potions		Object	POTION_Medium_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														POTION_Large_Healing_Potion								POTION_Large_Healing_Potion				
POTION_Minor_Healing_Potion_POTION_Minor_Healing_Potion_Step3		Potions		Object	POTION_Minor_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step3_A	Consume														POTION_Medium_Healing_Potion								POTION_Medium_Healing_Potion				
POTION_Medium_Healing_Potion_POTION_Medium_Healing_Potion_Step3		Potions		Object	POTION_Medium_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step3_A	Consume														POTION_Large_Healing_Potion								POTION_Large_Healing_Potion				
POTION_Large_Healing_Potion_POTION_Large_Healing_Potion		Potions		Object	POTION_Large_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														POTION_Huge_Healing_Potion								POTION_Huge_Healing_Potion				
POTION_Large_Healing_Potion_POTION_Large_Healing_Potion_Step3		Potions		Object	POTION_Large_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step3_A	Consume														POTION_Huge_Healing_Potion								POTION_Huge_Healing_Potion				
POTION_Huge_Healing_Potion_POTION_Large_Healing_Potion		Potions		Object	POTION_Huge_Healing_Potion	Transform	Object	CON_Herb_Augmentor_Step3_A	Consume														POTION_Giant_Healing_Potion								POTION_Giant_Healing_Potion				
CON_Potion_Poison_A_CON_Potion_Poison_A		Potions		Object	CON_Potion_Poison_A	Transform	Object	CON_Herb_Augmentor_A	Consume														CON_Potion_Poison_Medium_A								CON_Potion_Poison_Medium_A				
CON_Potion_Poison_Medium_A_CON_Potion_Poison_Medium_A		Potions		Object	CON_Potion_Poison_Medium_A	Transform	Object	CON_Herb_Augmentor_A	Consume														CON_Potion_Poison_Large_A								CON_Potion_Poison_Large_A				
CON_Potion_Poison_A_CON_Potion_Poison_A_Step2		Potions		Object	CON_Potion_Poison_A	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														CON_Potion_Poison_Medium_A								CON_Potion_Poison_Medium_A				
CON_Potion_Poison_Medium_A_CON_Potion_Poison_Medium_A_Step2		Potions		Object	CON_Potion_Poison_Medium_A	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														CON_Potion_Poison_Large_A								CON_Potion_Poison_Large_A				
CON_Potion_Poison_Large_A_CON_Potion_Poison_Large_A		Potions		Object	CON_Potion_Poison_Large_A	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														CON_Potion_Poison_Huge_A								CON_Potion_Poison_Huge_A				
CON_Potion_Poison_Large_A_CON_Potion_Poison_Large_A_Step3		Potions		Object	CON_Potion_Poison_Large_A	Transform	Object	CON_Herb_Augmentor_Step3_A	Consume														CON_Potion_Poison_Huge_A								CON_Potion_Poison_Huge_A				
CON_Potion_Poison_Huge_A_CON_Potion_Poison_Huge_A		Potions		Object	CON_Potion_Poison_Huge_A	Transform	Object	CON_Herb_Augmentor_Step3_A	Consume														CON_Potion_Poison_Giant_A								CON_Potion_Poison_Giant_A				
CON_Potion_MagicArmor_Boost_A_CON_Potion_MagicArmor_Boost_A		Potions		Object	CON_Potion_MagicArmor_Boost_A	Transform	Object	CON_Herb_Augmentor_A	Consume														CON_Potion_MagicArmor_Boost_Medium_A								CON_Potion_MagicArmor_Boost_Medium_A				
CON_Potion_MagicArmor_Boost_Medium_A_CON_Potion_MagicArmor_Boost_Medium_A		Potions		Object	CON_Potion_MagicArmor_Boost_Medium_A	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														CON_Potion_MagicArmor_Boost_Large_A								CON_Potion_MagicArmor_Boost_Large_A				
CON_Potion_PhysicalArmor_Boost_A_CON_Potion_PhysicalArmor_Boost_A		Potions		Object	CON_Potion_PhysicalArmor_Boost_A	Transform	Object	CON_Herb_Augmentor_A	Consume														CON_Potion_PhysicalArmor_Boost_Medium_A								CON_Potion_PhysicalArmor_Boost_Medium_A				
CON_Potion_PhysicalArmor_Boost_Medium_A_CON_Potion_PhysicalArmor_Boost_Medium_A		Potions		Object	CON_Potion_PhysicalArmor_Boost_Medium_A	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														CON_Potion_PhysicalArmor_Boost_Large_A								CON_Potion_PhysicalArmor_Boost_Large_A				
CON_Potion_MagicArmor_Boost_A_CON_Potion_MagicArmor_Boost_A_Step2		Potions		Object	CON_Potion_MagicArmor_Boost_A	Transform	Object	CON_Herb_Augmentor_Step2_A	Consume														CON_Potion_MagicArmor_Boost_Medium_A								CON_Potion_MagicArmor_Boost_Medium_A				
