Name	Parent	ItemGroup	ModifierType	Act	Level	Slot	Requirements	Armor Defense Value	ArmorBoost	Magic Armor Value	MagicArmorBoost	Durability	DurabilityDegradeSpeed	Value	Weight	Movement	Initiative	Fire	Air	Water	Earth	Poison	Piercing	Physical	StrengthBoost	FinesseBoost	IntelligenceBoost	ConstitutionBoost	MemoryBoost	WitsBoost	SingleHanded	TwoHanded	Ranged	DualWielding	Perseverance	Leadership	PainReflection	WarriorLore	RangerLore	RogueLore	Sourcery	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Necromancy	Polymorph	Summoning	Telekinesis	Sneaking	Thievery	Loremaster	Repair	Barter	Persuasion	Luck	SightBoost	HearingBoost	VitalityBoost	MagicPointsBoost	ChanceToHitBoost	APMaximum	APStart	APRecovery	AccuracyBoost	DodgeBoost	CriticalChance	Reflection	MaxSummons	Skills	Talents	Tags	ExtraProperties	Flags	Boosts	ComboCategory	InventoryTab	ArmorType	ItemColor	NeedsIdentification	Charges	MaxCharges	RuneSlots	RuneSlots_V1	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
ARM_Purge_Boots	_ClothBoots	ARM_Purge_Boots			0			0						2																																																														ClothBoots,ArmorShoes			White Prisoner Robe														
_ClothGloves		ClothGloves	Item	1		Gloves		30		0		0	2	5	300	0	0	0	0	0	0	0	0	0																																																					Equipment	Cloth	Burnished Bronze				0	0									
ARM_Civilian_Gloves	_ClothGloves				0																																																																							ClothGloves,Gloves									ClothGloves	1	1	1		1			
ARM_Purge_Gloves	_ClothGloves	ARM_Purge_Gloves			0			0																																																																				ClothGloves,Gloves			White Prisoner Robe														
_ClothHelmet		ClothHelmet	Item	1		Helmet		30		0		0	2	4	300	0	0	0	0	0	0	0	0	0																																																					Equipment	Cloth	Burnished Bronze				0	0									
ARM_Civilian_Helmet	_ClothHelmet				0																																																																							ClothHelmet,Helmet									ClothHelmet	1	1	1		1			
ARM_Purge_Helmet	_ClothHelmet	ARM_Purge_Helmet			0			0																																																																				ClothHelmet,Helmet			White Prisoner Robe														
ARM_ShapeshifterMask	_ClothHelmet	ARM_ShapeshifterMask			0			0		0				1200																																																								Shout_PolymorphIntoHuman;Shout_PolymorphIntoLizard;Shout_PolymorphIntoElf;Shout_PolymorphIntoDwarf;Shout_CancelPolymorphism						ClothHelmet,Helmet																	
ARM_ShapeshifterMask_Human	_ClothHelmet	ARM_ShapeshifterMask_Human			0			0		0				400																																																								Shout_PolymorphIntoHuman;Shout_CancelPolymorphism						ShapeshifterMaskHuman																	
ARM_ShapeshifterMask_Dwarf	_ClothHelmet	ARM_ShapeshifterMask_Dwarf			0			0		0				400																																																								Shout_PolymorphIntoDwarf;Shout_CancelPolymorphism						ShapeshifterMaskDwarf																	
ARM_ShapeshifterMask_Elf	_ClothHelmet	ARM_ShapeshifterMask_Elf			0			0		0				400																																																								Shout_PolymorphIntoElf;Shout_CancelPolymorphism						ShapeshifterMaskElf																	
ARM_ShapeshifterMask_Lizard	_ClothHelmet	ARM_ShapeshifterMask_Lizard			0			0		0				400																																																								Shout_PolymorphIntoLizard;Shout_CancelPolymorphism						ShapeshifterMaskLizard																	
ARM_Bicorne	_ClothHelmet	EMPTY			0									200																																																																	Battlemage														
_LightUpperBody		LightUpperBody	Item	1		Breast	Finesse 12	55		35		0	2	90	3000	0	0	0	0	0	0	0	0	0																																																					Equipment	Leather	Burnished Bronze				0	0									
ARM_Light_UpperBody	_LightUpperBody				0																																																																							ArmorLeather,Upperbody									LightUpperBody	1	1	1		1			
ARM_Light_UpperBody_Leather_Crafted	_LightUpperBody	LightUpperBodyLeatherCrafted			0																																																																							ArmorLeather,Upperbody																	
ARM_Light_UpperBody_Chain_Crafted	_LightUpperBody	LightUpperBodyChainCrafted			0																																																																							ArmorLeather,Upperbody																	
ARM_Light_UpperBody_Cheat_RuneSlot1	_LightUpperBody				0																																																																							ArmorLeather,Upperbody							1	1									
ARM_Light_UpperBody_Cheat_RuneSlot2	_LightUpperBody				0																																																																							ArmorLeather,Upperbody							2	2									
ARM_Light_UpperBody_Cheat_RuneSlot3	_LightUpperBody				0																																																																							ArmorLeather,Upperbody							3	3									
ARM_REFERENCE_Light_UpperBody	ARM_Light_UpperBody				0		Finesse 0							0	0																																																																						REFERENCE_LightUpperBody	1	1	1		1			
_LightLowerBody		LightLowerBody	Item	1		Leggings	Finesse 12	50		30		0	2	50	2500	0	0	0	0	0	0	0	0	0																																																					Equipment	Leather	Burnished Bronze				0	0									
ARM_Light_LowerBody	_LightLowerBody				0																																																																							PantsLeather,Pants									LightLowerBody	1	1	1		1			
ARM_REFERENCE_Light_LowerBody	ARM_Light_LowerBody				0		Finesse 0							0	0																																																																						REFERENCE_LightLowerBody	1	1	1		1			
_LightBoots		LightBoots	Item	1		Boots	Finesse 12	50		30		0	2	16	1000	0	0	0	0	0	0	0	0	0																																																					Equipment	Leather	Burnished Bronze				0	0									
ARM_Light_Boots	_LightBoots				0																																																																							BootsLeather,ArmorShoes									LightBoots	1	1	1		1			
ARM_REFERENCE_Light_Boots	ARM_Light_Boots				0		Finesse 0							0	0																																																																						REFERENCE_LightBoots	1	1	1		1			
_LightGloves		LightGloves	Item	1		Gloves	Finesse 12	50		30		0	2	13	1000	0	0	0	0	0	0	0	0	0																																																					Equipment	Leather	Burnished Bronze				0	0									
ARM_Light_Gloves	_LightGloves				0																																																																							GlovesLeather,Gloves									LightGloves	1	1	1		1			
ARM_REFERENCE_Light_Gloves	ARM_Light_Gloves				0		Finesse 0							0	0																																																																						REFERENCE_LightGloves	1	1	1		1			
_LightHelmet		LightHelmet	Item	1		Helmet	Finesse 12	50		30		0	2	31	1500	0	0	0	0	0	0	0	0	0																																																					Equipment	Leather	Burnished Bronze				0	0									
ARM_Light_Helmet	_LightHelmet				0																																																																							HelmetLeather,Helmet									LightHelmet	1	1	1		1			
ARM_REFERENCE_Light_Helmet	ARM_Light_Helmet				0		Finesse 0							0	0																																																																						REFERENCE_LightHelmet	1	1	1		1			
_HeavyUpperBody		HeavyUpperBody	Item	1		Breast	Strength 12	90		15		0	2	140	5000	0	0	0	0	0	0	0	0	0																																																					Equipment	Plate	Burnished Bronze				0	0									
ARM_Heavy_UpperBody	_HeavyUpperBody				0																																																																							ArmorScale,Upperbody									HeavyUpperBody	1	1	1		1			
ARM_Heavy_UpperBody_Scale_Crafted	_HeavyUpperBody	HeavyUpperBodyScaleCrafted			0																																																																							ArmorScale,Upperbody																	
ARM_Heavy_UpperBody_Plate_Crafted	_HeavyUpperBody	HeavyUpperBodyPlateCrafted			0																																																																							ArmorScale,Upperbody																	
ARM_REFERENCE_Heavy_UpperBody	ARM_Heavy_UpperBody				0		Strength 0							0	0																																																																						REFERENCE_HeavyUpperBody	1	1	1		1			
_HeavyLowerBody		HeavyLowerBody	Item	1		Leggings	Strength 12	90		15		0	2	75	3500	0	0	0	0	0	0	0	0	0																																																					Equipment	Plate	Burnished Bronze				0	0									
ARM_Heavy_LowerBody	_HeavyLowerBody				0																																																																							PantsScale,Pants									HeavyLowerBody	1	1	1		1			
ARM_REFERENCE_Heavy_LowerBody	ARM_Heavy_LowerBody				0		Strength 0							0	0																																																																						REFERENCE_HeavyLowerBody	1	1	1		1			
_HeavyBoots		HeavyBoots	Item	1		Boots	Strength 12	90		15		0	2	35	2000	0	0	0	0	0	0	0	0	0																																																					Equipment	Plate	Burnished Bronze				0	0									
ARM_Heavy_Boots	_HeavyBoots				0																																																																							BootsScale,ArmorShoes									HeavyBoots	1	1	1		1			
ARM_REFERENCE_Heavy_Boots	ARM_Heavy_Boots				0		Strength 0							0	0																																																																						REFERENCE_HeavyBoots	1	1	1		1			
_HeavyGloves		HeavyGloves	Item	1		Gloves	Strength 12	90		15		0	2	25	2000	0	0	0	0	0	0	0	0	0																																																					Equipment	Plate	Burnished Bronze				0	0									
ARM_Heavy_Gloves	_HeavyGloves				0																																																																							GlovesScale,Gloves									HeavyGloves	1	1	1		1			
ARM_REFERENCE_Heavy_Gloves	ARM_Heavy_Gloves				0		Strength 0							0	0																																																																						REFERENCE_HeavyGloves	1	1	1		1			
_HeavyHelmet		HeavyHelmet	Item	1		Helmet	Strength 12	90		15		0	2	52	2500	0	0	0	0	0	0	0	0	0																																																					Equipment	Plate	Burnished Bronze				0	0									
ARM_Heavy_Helmet	_HeavyHelmet				0																																																																							HelmetScale,Helmet									HeavyHelmet	1	1	1		1			
ARM_REFERENCE_Heavy_Helmet	ARM_Heavy_Helmet				0		Strength 0							0	0																																																																						REFERENCE_HeavyHelmet	1	1	1		1			
_MageUpperBody		MageUpperBody	Item	1		Breast	Intelligence 12	15		90		0	2	120	1000	0	0	0	0	0	0	0	0	0																																																					Equipment	Robe	Burnished Bronze				0	0									
ARM_Mage_UpperBody	_MageUpperBody				0																																																																							RobeArmor,Upperbody									MageUpperBody	1	1	1		1			
ARM_Mage_UpperBody_Crafted	_MageUpperBody	MageUpperBodyCrafted			0																																																																							RobeArmor,Upperbody																	
ARM_REFERENCE_Mage_UpperBody	ARM_Mage_UpperBody				0		Intelligence 0							0	0																																																																						REFERENCE_MageUpperBody	1	1	1		1			
_MageLowerBody		MageLowerBody	Item	1		Leggings	Intelligence 12	15		90		0	2	55	700	0	0	0	0	0	0	0	0	0																																																					Equipment	Robe	Burnished Bronze				0	0									
ARM_Mage_LowerBody	_MageLowerBody				0																																																																							PantsMage,Pants									MageLowerBody	1	1	1		1			
ARM_REFERENCE_Mage_LowerBody	ARM_Mage_LowerBody				0		Intelligence 0							0	0																																																																						REFERENCE_MageLowerBody	1	1	1		1			
_MageBoots		MageBoots	Item	1		Boots	Intelligence 12	15		90		0	2	23	500	0	0	0	0	0	0	0	0	0																																																					Equipment	Robe	Burnished Bronze				0	0									
ARM_Mage_Boots	_MageBoots				0																																																																							BootsMage,ArmorShoes									MageBoots	1	1	1		1			
ARM_REFERENCE_Mage_Boots	ARM_Mage_Boots				0		Intelligence 0							0	0																																																																						REFERENCE_MageBoots	1	1	1		1			
_MageGloves		MageGloves	Item	1		Gloves	Intelligence 12	15		90		0	2	19	300	0	0	0	0	0	0	0	0	0																																																					Equipment	Robe	Burnished Bronze				0	0									
ARM_Mage_Gloves	_MageGloves				0																																																																							GlovesMage,Gloves									MageGloves	1	1	1		1			
ARM_REFERENCE_Mage_Gloves	ARM_Mage_Gloves				0		Intelligence 0							0	0																																																																						REFERENCE_MageGloves	1	1	1		1			
_MageHelmet		MageHelmet	Item	1		Helmet	Intelligence 12	15		90		0	2	50	300	0	0	0	0	0	0	0	0	0																																																					Equipment	Robe	Burnished Bronze				0	0									
ARM_Mage_Helmet	_MageHelmet				0																																																																							HelmetMage,Helmet									MageHelmet	1	1	1		1			
ARM_REFERENCE_Mage_Helmet	ARM_Mage_Helmet				0		Intelligence 0							0	0																																																																						REFERENCE_MageHelmet	1	1	1		1			
_Belts		Belts	Item	1		Belt		100				0	4	21	300	0	0	0	0	0	0	0	0	0																																																					Equipment		Burnished Bronze				0	0									
ARM_Belt	_Belts				0																																																																							ArmorBelt									Belt			1		1			
_Rings		Rings	Item	1		Ring		0		100		0	2	100	50	0	0	0	0	0	0	0	0	0																																																					Equipment						0	0									
ARM_Ring	_Rings				0																																																																							ArmorRing									Ring	1	1	1		1			
_Amulets		Amulets	Item	1		Amulet		0		100		0	2	130	70	0	0	0	0	0	0	0	0	0																																																					Equipment						0	0									
ARM_Amulet	_Amulets				0																																																																							ArmorAmulet									Amulet	1	1	1		1			
ARM_Amulet_Cheat_RuneSlot1	_Amulets				0																																																																														1	1									
ARM_Amulet_Cheat_RuneSlot2	_Amulets				0																																																																														2	2									
ARM_Amulet_Cheat_RuneSlot3	_Amulets				0																																																																														3	3									
ARM_SourceCollar	_Amulets				0					0			0	0	0																																																										SELF:ONEQUIP:SOURCE_MUTED	Unbreakable																			
ARM_SourceCollar_Broken	_Amulets				0					0			0	0	0																																																											Unbreakable																			
_Wings		Wings	Item	1		Wings						0	0	0	0	0	0	0	0	0	0	0	0	0																																																		Unbreakable									0	0									
ARM_Wings	_Wings				1																																																																																								
ARM_SpiderLegs	_Wings	SpiderLegs			1																																																																																								
_Overhead		InnerDemon	Item	1		Overhead						0	0	0	0	0	0	0	0	0	0	0	0	0																																																		Unbreakable									0	0									
ARM_InnerDemon	_Overhead				1																																																																																								
_Horns		Horns	Item	1		Horns		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0																																																		Unbreakable									0	0									
ARM_Horns	_Horns				1																																																																																								
ARM_MedusaHead	_Horns	MedusaHead			1																																																																																								
_Crafted																																																																																			0	0									
ARM_Wood_Torso_Barrel_A	_ClothArmor				1			20						10	5000	-100		-5																																																												None															
ARM_CraftedRobe_Trethon	_MageUpperBody	ARM_CraftedRobe_Trethon			0									1200				3	3	3	3	3					1																																																	RobeArmor,Upperbody			Tenebrium										1				
FUR_Bucket_A	_ClothHelmet	FUR_Bucket_A			2			50						0	500		-1																																																																				Junk	1	1	1		1			
UNI_Halloween_Pumpkin_A	_ClothHelmet				2			50						0	500			4																																																							FEAR,5,1																				
_CharacterCreation																																																																																			0	0									
ARM_Battlemage_UpperBody	_MageUpperBody	ARM_Battlemage_UpperBody			0																																																																										Battlemage														
ARM_Battlemage_LowerBody	_MageLowerBody	ARM_Battlemage_LowerBody			0																																																																										Battlemage														
ARM_Battlemage_Gloves	_MageGloves	ARM_Battlemage_Gloves			0																																																																										Battlemage														
ARM_Battlemage_Boots	_MageBoots	ARM_Battlemage_Boots			0																																																																										Battlemage														
ARM_Battlemage_Helmet	_MageHelmet	ARM_Battlemage_Helmet			0																																																																										Battlemage														
ARM_Cleric_UpperBody	_HeavyUpperBody	ARM_Cleric_UpperBody			0																																																																										Cleric														
ARM_Cleric_LowerBody	_HeavyLowerBody	ARM_Cleric_LowerBody			0																																																																										Cleric														
ARM_Cleric_Gloves	_HeavyGloves	ARM_Cleric_Gloves			0																																																																										Cleric														
ARM_Cleric_Boots	_HeavyBoots	ARM_Cleric_Boots			0																																																																										Cleric														
ARM_Cleric_Helmet	_HeavyHelmet	ARM_Cleric_Helmet			0																																																																										Cleric														
ARM_Enchanter_UpperBody	_MageUpperBody	ARM_Enchanter_UpperBody			0																																																																										Enchanter														
ARM_Enchanter_LowerBody	_MageLowerBody	ARM_Enchanter_LowerBody			0																																																																										Enchanter														
ARM_Enchanter_Gloves	_MageGloves	ARM_Enchanter_Gloves			0																																																																										Enchanter														
ARM_Enchanter_Boots	_MageBoots	ARM_Enchanter_Boots			0																																																																										Enchanter														
ARM_Enchanter_Helmet	_MageHelmet	ARM_Enchanter_Helmet			0																																																																										Enchanter														
ARM_Fighter_UpperBody	_HeavyUpperBody	ARM_Fighter_UpperBody			0																																																																										Fighter														
ARM_Fighter_LowerBody	_HeavyLowerBody	ARM_Fighter_LowerBody			0																																																																										Fighter														
ARM_Fighter_Gloves	_HeavyGloves	ARM_Fighter_Gloves			0																																																																										Fighter														
ARM_Fighter_Boots	_HeavyBoots	ARM_Fighter_Boots			0																																																																										Fighter														
ARM_Fighter_Helmet	_HeavyHelmet	ARM_Fighter_Helmet			0																																																																										Fighter														
ARM_Inquisitor_UpperBody	_MageUpperBody	ARM_Inquisitor_UpperBody			0																																																																										Inquisitor														
ARM_Inquisitor_LowerBody	_MageLowerBody	ARM_Inquisitor_LowerBody			0																																																																										Inquisitor														
ARM_Inquisitor_Gloves	_MageGloves	ARM_Inquisitor_Gloves			0																																																																										Inquisitor														
ARM_Inquisitor_Boots	_MageBoots	ARM_Inquisitor_Boots			0																																																																										Inquisitor														
ARM_Inquisitor_Helmet	_MageHelmet	ARM_Inquisitor_Helmet			0																																																																										Inquisitor														
ARM_Knight_UpperBody	_HeavyUpperBody	ARM_Knight_UpperBody			0																																																																										Knight														
ARM_Knight_LowerBody	_HeavyLowerBody	ARM_Knight_LowerBody			0																																																																										Knight														
ARM_Knight_Gloves	_HeavyGloves	ARM_Knight_Gloves			0																																																																										Knight														
ARM_Knight_Boots	_HeavyBoots	ARM_Knight_Boots			0																																																																										Knight														
ARM_Knight_Helmet	_HeavyHelmet	ARM_Knight_Helmet			0																																																																										Knight														
ARM_Metamorph_UpperBody	_HeavyUpperBody	ARM_Metamorph_UpperBody			0																																																																										Metamorph														
ARM_Metamorph_LowerBody	_HeavyLowerBody	ARM_Metamorph_LowerBody			0																																																																										Metamorph														
ARM_Metamorph_Gloves	_HeavyGloves	ARM_Metamorph_Gloves			0																																																																										Metamorph														
ARM_Metamorph_Boots	_HeavyBoots	ARM_Metamorph_Boots			0																																																																										Metamorph														
ARM_Metamorph_Helmet	_HeavyHelmet	ARM_Metamorph_Helmet			0																																																																										Metamorph														
ARM_Ranger_UpperBody	_LightUpperBody	ARM_Ranger_UpperBody			0																																																																										Ranger														
ARM_Ranger_LowerBody	_LightLowerBody	ARM_Ranger_LowerBody			0																																																																										Ranger														
ARM_Ranger_Gloves	_LightGloves	ARM_Ranger_Gloves			0																																																																										Ranger														
ARM_Ranger_Boots	_LightBoots	ARM_Ranger_Boots			0																																																																										Ranger														
ARM_Ranger_Helmet	_LightHelmet	ARM_Ranger_Helmet			0																																																																										Ranger														
ARM_Rogue_UpperBody	_LightUpperBody	ARM_Rogue_UpperBody			0																																																																										Rogue														
ARM_Rogue_LowerBody	_LightLowerBody	ARM_Rogue_LowerBody			0																																																																										Rogue														
ARM_Rogue_Gloves	_LightGloves	ARM_Rogue_Gloves			0																																																																										Rogue														
ARM_Rogue_Boots	_LightBoots	ARM_Rogue_Boots			0																																																																										Rogue														
ARM_Rogue_Helmet	_LightHelmet	ARM_Rogue_Helmet			0																																																																										Rogue														
ARM_Shadowblade_UpperBody	_LightUpperBody	ARM_Shadowblade_UpperBody			0																																																																										Shadowblade														
ARM_Shadowblade_LowerBody	_LightLowerBody	ARM_Shadowblade_LowerBody			0																																																																										Shadowblade														
ARM_Shadowblade_Gloves	_LightGloves	ARM_Shadowblade_Gloves			0																																																																										Shadowblade														
ARM_Shadowblade_Boots	_LightBoots	ARM_Shadowblade_Boots			0																																																																										Shadowblade														
ARM_Shadowblade_Helmet	_LightHelmet	ARM_Shadowblade_Helmet			0																																																																										Shadowblade														
ARM_Conjurer_UpperBody	_LightUpperBody	ARM_Conjurer_UpperBody			0																																																																										Conjurer														
ARM_Conjurer_LowerBody	_LightLowerBody	ARM_Conjurer_LowerBody			0																																																																										Conjurer														
ARM_Conjurer_Gloves	_LightGloves	ARM_Conjurer_Gloves			0																																																																										Conjurer														
ARM_Conjurer_Boots	_LightBoots	ARM_Conjurer_Boots			0																																																																										Conjurer														
ARM_Conjurer_Helmet	_LightHelmet	ARM_Conjurer_Helmet			0																																																																										Conjurer														
ARM_Wayfarer_UpperBody	_LightUpperBody	ARM_Wayfarer_UpperBody			0																																																																										Wayfarer														
ARM_Wayfarer_LowerBody	_LightLowerBody	ARM_Wayfarer_LowerBody			0																																																																										Wayfarer														
ARM_Wayfarer_Gloves	_LightGloves	ARM_Wayfarer_Gloves			0																																																																										Wayfarer														
ARM_Wayfarer_Boots	_LightBoots	ARM_Wayfarer_Boots			0																																																																										Wayfarer														
ARM_Wayfarer_Helmet	_LightHelmet	ARM_Wayfarer_Helmet			0																																																																										Wayfarer														
ARM_Witch_UpperBody	_MageUpperBody	ARM_Witch_UpperBody			0																																																																										Witch														
ARM_Witch_LowerBody	_MageLowerBody	ARM_Witch_LowerBody			0																																																																										Witch														
ARM_Witch_Gloves	_MageGloves	ARM_Witch_Gloves			0																																																																										Witch														
ARM_Witch_Boots	_MageBoots	ARM_Witch_Boots			0																																																																										Witch														
ARM_Witch_Helmet	_MageHelmet	ARM_Witch_Helmet			0																																																																										Witch														
ARM_Wizard_UpperBody	_MageUpperBody	ARM_Wizard_UpperBody			0																																																																										Wizard														
ARM_Wizard_LowerBody	_MageLowerBody	ARM_Wizard_LowerBody			0																																																																										Wizard														
ARM_Wizard_Gloves	_MageGloves	ARM_Wizard_Gloves			0																																																																										Wizard														
ARM_Wizard_Boots	_MageBoots	ARM_Wizard_Boots			0																																																																										Wizard														
ARM_Wizard_Helmet	_MageHelmet	ARM_Wizard_Helmet			0																																																																										Wizard														
_Origins																																																																																			0	0									
ARM_Beast_UpperBody	_ClothArmor	ARM_Beast_UpperBody			0																																																																																								
ARM_Beast_LowerBody	_ClothLowerBody	ARM_Beast_LowerBody			0																																																																																								
ARM_Beast_Boots	_ClothBoots	ARM_Beast_Boots			0																																																																																								
ARM_Beast_Gloves	_ClothGloves	ARM_Beast_Gloves			0																																																																																								
ARM_Fane_UpperBody	_ClothArmor	ARM_Fane_UpperBody			0																																																																																								
ARM_Fane_LowerBody	_ClothLowerBody	ARM_Fane_LowerBody			0																																																																																								
ARM_Fane_Boots	_ClothBoots	ARM_Fane_Boots			0																																																																																								
ARM_Fane_Gloves	_ClothGloves	ARM_Fane_Gloves			0																																																																																								
ARM_Ifan_UpperBody	_ClothArmor	ARM_Ifan_UpperBody			0																																																																																								
ARM_Ifan_LowerBody	_ClothLowerBody	ARM_Ifan_LowerBody			0																																																																																								
ARM_Ifan_Boots	_ClothBoots	ARM_Ifan_Boots			0																																																																																								
ARM_Ifan_Gloves	_ClothGloves	ARM_Ifan_Gloves			0																																																																																								
ARM_Lohse_UpperBody	_ClothArmor	ARM_Lohse_UpperBody			0																																																																																								
ARM_Lohse_LowerBody	_ClothLowerBody	ARM_Lohse_LowerBody			0																																																																																								
ARM_Lohse_Boots	_ClothBoots	ARM_Lohse_Boots			0																																																																																								
ARM_Lohse_Gloves	_ClothGloves	ARM_Lohse_Gloves			0																																																																																								
ARM_RedPrince_UpperBody	_ClothArmor	ARM_RedPrince_UpperBody			0																																																																																								
ARM_RedPrince_LowerBody	_ClothLowerBody	ARM_RedPrince_LowerBody			0																																																																																								
ARM_RedPrince_Boots	_ClothBoots	ARM_RedPrince_Boots			0																																																																																								
ARM_RedPrince_Gloves	_ClothGloves	ARM_RedPrince_Gloves			0																																																																																								
ARM_Sebille_UpperBody	_ClothArmor	ARM_Sebille_UpperBody			0																																																																																								
ARM_Sebille_LowerBody	_ClothLowerBody	ARM_Sebille_LowerBody			0																																																																																								
ARM_Sebille_Boots	_ClothBoots	ARM_Sebille_Boots			0																																																																																								
ARM_Sebille_Gloves	_ClothGloves	ARM_Sebille_Gloves			0																																																																																								
_ArenaGear																																																																																			0	0									
ARM_Leather_UpperBody_Arena	_LightUpperBody				0																																																																					Unbreakable		ArmorLeather			ArenaLobby														
ARM_Plate_UpperBody_Arena	_HeavyUpperBody				0																																																																					Unbreakable		ArmorScale			ArenaLobby														
ARM_Mage_UpperBody_Arena	_MageUpperBody				0																																																																					Unbreakable		RobeArmor			ArenaLobby														
ARM_Leather_LowerBody_Arena	_LightLowerBody				0																																																																					Unbreakable		PantsLeather			ArenaLobby														
ARM_Leather_Boots_Arena	_LightBoots				0																																																																					Unbreakable		BootsLeather,ArmorShoes			ArenaLobby														
ARM_Plate_LowerBody_Arena	_HeavyLowerBody				0																																																																					Unbreakable		PantsPlate			ArenaLobby														
ARM_Mage_LowerBody_Arena	_MageLowerBody				0																																																																					Unbreakable		PantsMage			ArenaLobby														
ARM_Plate_Boots_Arena	_HeavyBoots				0																																																																					Unbreakable		BootsPlate,ArmorShoes			ArenaLobby														
ARM_Mage_Boots_Arena	_MageBoots				0																																																																					Unbreakable		BootsMage,ArmorShoes			ArenaLobby														
ARM_Leather_Gloves_Arena	_LightGloves				0																																																																					Unbreakable		GlovesLeather			ArenaLobby														
ARM_Plate_Gloves_Arena	_HeavyGloves				0																																																																					Unbreakable		GlovesPlate			ArenaLobby														
ARM_Mage_Gloves_Arena	_MageGloves				0																																																																					Unbreakable		GlovesMage			ArenaLobby														
ARM_Leather_Helmet_Arena	_LightHelmet				0																																																																					Unbreakable		HelmetLeather			ArenaLobby														
ARM_Plate_Helmet_Arena	_HeavyHelmet				0																																																																					Unbreakable		HelmetPlate			ArenaLobby														
ARM_Mage_Helmet_Arena	_MageHelmet				0																																																																					Unbreakable		HelmetMage			ArenaLobby														
_BOOSTS_Armor			Boost	1	1																																																																														0	0									
_Boost_Armor_All_EmptyRuneSlot	_BOOSTS_Armor																																																																																		1	1									
_Boost_Armor_All_Armour_Base	_BOOSTS_Armor							7		7				2																																																																															
_Boost_Armor_All_Armour_Base_Medium	_BOOSTS_Armor							12		12				2																																																																															
_Boost_Armor_All_Armour_Base_Large	_BOOSTS_Armor							20		20				2																																																																															
_Boost_Armor_All_Armour_Magical_Base	_BOOSTS_Armor							5		10				2																																																																															
_Boost_Armor_All_Armour_Magical_Base_Medium	_BOOSTS_Armor							7		15																																																																																			
_Boost_Armor_All_Armour_Magical_Base_Large	_BOOSTS_Armor							10		25																																																																																			
_Boost_Armor_All_Armour_Physical_Base	_BOOSTS_Armor							10		5				2																																																																															
_Boost_Armor_All_Armour_Physical_Base_Medium	_BOOSTS_Armor							15		7				2																																																																															
_Boost_Armor_All_Armour_Physical_Base_Large	_BOOSTS_Armor							25		10				2																																																																															
_Boost_Armor_Helmet_Armour_Magical	_BOOSTS_Armor									10				5																																																																															
_Boost_Armor_Helmet_Armour_Magical_Large	_BOOSTS_Armor									30				9																																																																															
