Name	Parent	RootTemplate	Act	Level	Act strength	StackId	ComboCategory	AuraRadius	AuraSelf	AuraAllies	AuraNeutrals	AuraEnemies	AuraItems	AuraFX	Weight	Value	Strength	Finesse	Intelligence	Constitution	Memory	Wits	SingleHanded	TwoHanded	Ranged	DualWielding	PhysicalArmorMastery	MagicArmorMastery	VitalityMastery	PainReflection	WarriorLore	RangerLore	RogueLore	Sourcery	Telekinesis	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Necromancy	Polymorph	Summoning	Sneaking	Thievery	Loremaster	Repair	Barter	Persuasion	Leadership	Luck	FireResistance	EarthResistance	WaterResistance	AirResistance	PoisonResistance	PiercingResistance	PhysicalResistance	Sight	Hearing	Initiative	Movement	MovementSpeedBoost	Vitality	VitalityBoost	VitalityPercentage	ChanceToHitBoost	AccuracyBoost	DodgeBoost	DamageBoost	RangeBoost	APCostBoost	SPCostBoost	APMaximum	APStart	APRecovery	CriticalChance	Gain	Armor	ArmorBoost	MagicArmor	MagicArmorBoost	Duration	UseAPCost	Reflection	LifeSteal	Damage	Damage Multiplier	Damage Range	DamageType	ActionPoints	MagicPoints	BloodSurfaceType	MaxSummons	AddToBottomBar	ExtraProperties	BoostConditions	Flags	BonusWeapon	StatusEffect	StatusIcon	StatusMaterial	SavingThrow	InventoryTab	UnknownBeforeConsume	IsConsumable	IsFood	SummonLifelinkModifier	IgnoredByAI	AiCalculationStatsOverride	RuneLevel	RuneEffectWeapon	RuneEffectUpperbody	RuneEffectAmulet	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
Stats_Necrofire			1	0																																															-20		10																													2															FreezeImmunity;ChilledImmunity;WetImmunity;WarmImmunity;WebImmunity			statIcons_Necrofire																						
Stats_Suffocating			1	0																																																																														2																		statIcons_Suffocating																						
Stats_Unconscious			1	0																																																						-10000				-100						-100							-2			-1000	-1000	-1000	-1000	2																																								
Stats_Totem_Armor_Strip			1	0																																																																														2																																								
Stats_Poisoned			1	0																																																																														2																		statIcons_Poisoned																						
Stats_Acid			1	0																																																																														2																		statIcons_Acid																						
Stats_HolyFire			1	0																																															20																															2															WarmImmunity;BurnImmunity;WebImmunity			statIcons_HolyFire																						
Stats_Chilled			1	0																																															10		-20	-10								-35						-30														2																		statIcons_Chill																						
Stats_Frozen			1	0																																															10		-20															-100														2															FearImmunity;TauntedImmunity;SleepingImmunity;PoisonImmunity;BleedingImmunity;PetrifiedImmunity;StunImmunity;ShockedImmunity			statIcons_Frozen																						
Stats_PermaFrost			1	0																																															100	100	100	100	100	100	100																									2															FearImmunity;CharmImmunity;ShacklesOfPainImmunity;TauntedImmunity;SleepingImmunity;PoisonImmunity;BleedingImmunity;PetrifiedImmunity;StunImmunity;ShockedImmunity;BurnImmunity			statIcons_Frozen																						
Stats_Wet			1	0																																															10		-10	-20																												2																		statIcons_Wet																						
Stats_Drunk			1	0															-5																															2										-5							-5	5														2																		statIcons_Drunk																						
Stats_Fear			1	0		Stack_Fear																																																														-20														2																		statIcons_Frightened																						
Stats_Charm			1	0																																																																														2																		statIcons_Charmed																						
Stats_ShacklesOfPain			1	0																																																																														3																	RS3_FX_GP_Status_Shackles_of_Pain_01:Dummy_BodyFX	statIcons_ShacklesOfPain																						
Stats_ShacklesOfPainCaster			1	0																																																																														3																		statIcons_ShacklesOfPain																						
Stats_HealSharing			1	0																																																																														3																		unknown																						
Stats_HealSharingCaster			1	0																																																																														3																		unknown																						
Stats_FavourableWind_Aura			1	0				10		FAVOURABLE_WIND																																																			150																					2																		statIcons_ImprovedInitiative																						
Stats_FavourableWind			1	0																																																									150																					2																		statIcons_ImprovedInitiative																						
Stats_ImprovedInitiative_Aura			1	0				10		IMPROVED_INITIATIVE																																																		10																						2																		statIcons_ImprovedInitiative																						
Stats_ImprovedInitiative			1	0																																																								10																						2																		statIcons_ImprovedInitiative																						
Stats_WindWalker			1	0																																																		40																												2																	RS3_FX_GP_Status_Windwalker_01:Dummy_BodyFX	statIcons_WindWalker																						
Stats_FireImmunity			1	0																																															100																															2															BurnImmunity			statIcons_Immune_Fire																						
Stats_FireImmunity_Aura			1	0				10		FIRE_IMMUNITY																																									100																															2															BurnImmunity			statIcons_Immune_Fire_Aura																						
Stats_WaterImmunity			1	0																																																	100																													2															FreezeImmunity			statIcons_Immune_Water																						
Stats_WaterImmunity_Aura			1	0				10		WATER_IMMUNITY																																											100																													2															FreezeImmunity			statIcons_Immune_Water_Aura																						
Stats_EarthImmunity			1	0																																																100			100																											2															PetrifiedImmunity;PoisonImmunity			statIcons_Immune_Earth																						
Stats_EarthImmunity_Aura			1	0				10		EARTH_IMMUNITY																																										100			100																											2															PetrifiedImmunity;PoisonImmunity			statIcons_Immune_Earth_Aura																						
Stats_AirImmunity			1	0																																																		100																												2															StunImmunity;ShockedImmunity			statIcons_Immune_Air																						
Stats_AirImmunity_Aura			1	0				10		AIR_IMMUNITY																																												100																												2															StunImmunity;ShockedImmunity			statIcons_Immune_Air_Aura																						
Stats_ElementalImmunity			1	0																																															100	100	100	100	100																											2															BurnImmunity;FreezeImmunity;PetrifiedImmunity;StunImmunity;ShockedImmunity;PoisonImmunity			statIcons_Immune_AllElements																						
Stats_ElementalImmunity_Aura			1	0				10		ELEMENTAL_IMMUNITY																																									100	100	100	100	100																											2															BurnImmunity;FreezeImmunity;PetrifiedImmunity;StunImmunity;ShockedImmunity;PoisonImmunity			statIcons_Immune_AllElements_Aura																						
Stats_PhysicalImmunity			1	0																																																					100																									2															KnockdownImmunity			statIcons_Immune_Physical																						
Stats_PhysicalImmunity_Aura			1	0				10		PHYSICAL_IMMUNITY																																															100																									2															KnockdownImmunity			statIcons_Immune_Physical_Aura																						
Stats_EtherealSoles			1	0																																																																														2																		statIcons_EtherealSoles																						
Stats_Remorse			1	0																																																																														2																		statIcons_Remorse																						
Stats_AggroMarked			1	0																																																																														2																		statIcons_AggroMarked																						
Stats_DecayingTouch			1	0																																																																														2																	RS3_FX_GP_Status_Decaying_01:Dummy_BodyFX	statIcons_DecayingTouch																						
Stats_CrawlingInfestation			1	0																																																																														3																		statIcons_CrawlingInfestation																						
Stats_MarkOfDeath			1	0																																																																														3																		statIcons_MarkOfDeath																						
Stats_Taunted			1	0																																																																														3																		statIcons_Taunted																						
Stats_Oiled			1	0																																																										-50						-30														1																		statIcons_Oiled																						
Stats_Petrified			1	0																																															10	-20		10														-100														1															Grounded;FearImmunity;TauntedImmunity;SleepingImmunity;PoisonImmunity;BleedingImmunity;FreezeImmunity;StunImmunity;BurnImmunity;ChilledImmunity;WarmImmunity;KnockdownImmunity;ThrownImmunity			statIcons_Petrified																						
Stats_Stunned			1	0																																																10		-15														-100														1															FearImmunity;TauntedImmunity;SleepingImmunity;PetrifiedImmunity;FreezeImmunity			statIcons_Stunned																						
Stats_Shocked			1	0																																																10		-15														-30						-1	-1							1																		unknown																						
Stats_KnockedDown			1	0																																																																-100														1															FearImmunity;TauntedImmunity;SleepingImmunity			statIcons_KnockedDown																						
Stats_Sleeping			1	0																																																																-100														1																		statIcons_Sleeping																						
Stats_DemonBomb			1	0																																																																														1																		Item_WPN_Undead_Bomb																						
Stats_Lie_Dying			1	0																																																										-100																				1																																								
Stats_Stuck			1	0																																																										-100																				1															ThrownImmunity			statIcons_ShacklesOfPain																						
Stats_SourceLinkRecipient			1	0																																																																														3																		statIcons_Sourcelinked																						
Stats_SourceLinkCaster			1	0																																																																														3																		statIcons_Sourcelinked																						
Stats_LifeChanneling			1	0																																																													10																	1																		statIcons_Immune_AllElements																						
Stats_LifeChanneling_Aura			1	0				10		LIFE_CHANNELING																																																							10																	1																		statIcons_Immune_AllElements_Aura																						
Stats_Adrenaline			1	0																																																																														1																	RS3_FX_GP_Status_Adrenaline_01:Dummy_BodyFX	statIcons_Adrenaline																						
Stats_SourceSurface			1	0																																																																														0									1									unknown																						
Stats_SourceSurfaceBlessed			1	0																																																																														0									2									unknown																						
Stats_SourceSurfaceCursed			1	0																																																																														0									-1									unknown																						
Stats_StoryCharmed			1	0																																																																														2																		statIcons_Charmed																						
Stats_Bleeding			1	0																																																																														2																		statIcons_Bleeding																						
Stats_Marked			1	0																																																																-100																													InvisibilityImmunity			unknown																						
Stats_Blinding_Radiance			1	0				5				BLIND																																										20																																														unknown																						
Stats_Flesh_Sacrifice			1	0																-4																																																	10					1																1										unknown																						
Stats_Fireblood			1	0																																															-20																																									SurfaceFire																														
Stats_SourceBlood			1	0																																																																																								SurfaceSource																														
Stats_Blind			1	0																																																															-35																																	statIcons_Blind																						
Stats_Supercharge			1	0																																																																	100																																																					
Stats_BlockSummon			1	0																																																																																													ProtectFromSummon																									
Stats_SoulGateway			1	0																																																																																																							-50															
Stats_Kill			1	0																																																																																											DYING,100,-1,DoT																											
Stats_Death_Resist			1	0																																																																														3																		unknown																						
Stats_Damage_On_Move			1	0																																																																														3																		unknown																						
Stats_Demonic_Bargain			1	0																																																																														0																		unknown																						
Stats_Guardian_Angel			1	0																																																																														3																		unknown																						
Stats_Guardian_Angel_Aura			1	0				10		GUARDIAN_ANGEL																																																																								3																		unknown																						
Stats_Thick_Of_The_Fight			1	0																																																																	10																															unknown																						
Stats_Disarmed			1	0																																																																																																unknown																						
Stats_Floating			1	0		Stack_EquipItem																																																																																											Floating																									
Stats_Dazed			1	0																																																		-20																	1																																																			
Stats_SteelSkin			1	0																																																																										30																																												
Stats_Evading			1	0																																																									100							90																																																						
Stats_Infusion_Ranged			1	0																																																																	25											40																																										
Stats_Infusion_Power			1	0																																																																	25									40																																												
Stats_Infusion_Shadow			1	0																																																									100								25																																																					
Stats_Infusion_Warp			1	0																																																																15	25																																																					
Stats_Infusion_Fire			1	0																																5															100		-20																																												BurnImmunity																									
Stats_Infusion_Necrofire			1	0																																10															130		-20																																						2																															
Stats_Infusion_Water			1	0																																	5														-20		100																																												FreezeImmunity																									
Stats_Infusion_Blessed_Ice			1	0																																	10														-20		120																																						2						FreezeImmunity																									
Stats_Infusion_Poison			1	0																																			5															-20	100																																										PoisonImmunity																									
Stats_Infusion_Acid			1	0																																			10															-20	120																																				2																															
Stats_Infusion_Electric			1	0																																		5														-20		100	-20																																										StunImmunity;ShockedImmunity																									
Stats_Infusion_Cursed_Electric			1	0																																		10														-20		120	-20																																				2						StunImmunity;ShockedImmunity																									
Stats_Infusion_Blood			1	0																											1									5																																							15		15																BleedingImmunity																									
Stats_Infusion_Oil			1	0																																			10													120		-20																																											SlowedImmunity;PetrifiedImmunity																									
Stats_Quest_TiedUp			1	0																																															-25	-25	-25	-25	-25	-25	-25					-100						-100											-100		-100																																									
Stats_Quest_Sunshine			1	0																																															-10																															2																																								
Stats_Quest_Overgrown			1	0																																																																	200													2																																								
Stats_Quest_DW_ArenaDebuff			1	0													-3	-3	-3	-3																																			-50					-5																																								statIcons_Poisoned																						
Stats_Shed_Skin			1	0																																																																																																																						
Stats_Summoning_Ability			1	0																																																												10					10										10		10																																									
Stats_Polymorphed			1	0																																																																																																																						
Stats_Polymorphed_PuzzleRat	Stats_Polymorphed		1	0																																																																																																																						
Stats_Polymorphed_ZombieChicken	Stats_Polymorphed		1	0																																																																																													ChickenImmunity																									
Stats_LivingBomb_Buildup_A			1	0																																																																																															RS3_FX_GP_Status_LivingBomb_Buildup_01,KeepRot:Dummy_BodyFX																							
Stats_LivingBomb_Buildup_B			1	0																																																																																															RS3_FX_GP_Status_LivingBomb_Buildup_02,KeepRot:Dummy_BodyFX																							
Stats_LivingBomb			1	0																																																																																											EXPLODE,100,0,Projectile_LivingBomb_Explosion;																											
Stats_Horns			1	0																										1																																																																																												
Stats_MedusaHead			1	0																																			1													50																																													PetrifiedImmunity																									
Stats_SpiderLegs			1	0																																																																																																																						
Stats_Challenged			1	0																																																																																																																						
Stats_Challenge_Loss			1	0																																																																																		2	150	10	Piercing																																	
Stats_Challenge_Win			1	0																																																																	20									40		40															CHALLENGE_HEAL,100,0																											
Stats_Deflecting			1	0																																																																										40																			DeflectProjectiles																									
Stats_BoneCage			1	0																																																																										20																																												
Stats_BonePile			1	0																																																																	30																																																					
Stats_DemonicConsume			1	0																																																													25				30																																																					
Stats_Apotheosis			1	0													3	3	3	3	3	3																																																		-3																																																		
Stats_Farsight			1	0																																																																		400																																																				
Stats_BreathingBubble			1	0																																																																																													IgnoreClouds;SuffocatingImmunity;MuteImmunity																									
Stats_DeathWish			1	0																																																																	100																																																					
Stats_Madness			1	0																																																																																																																						
Stats_PlayDead			1	0																																																																																																																						
Stats_FlamingTongues			1	0																																																																																																																						
Stats_HealingTears			1	0																																																																																																																						
Stats_DemonicTutelage			1	0																																																																																																																						
Stats_ReactionShot			1	0																																																																																																																						
Stats_Grounded			1	0																																																																																													Grounded;ThrownImmunity																									
Stats_Web			1	0																																																										-100						-70																													Grounded;ThrownImmunity																									
Stats_Arrowhead_Fire			1	0																																																																																												OnWeaponBow;OnWeaponCrossbow		Status_Arrowhead_Fire																								
Stats_Arrowhead_Water			1	0																																																																																												OnWeaponBow;OnWeaponCrossbow		Status_Arrowhead_Water																								
Stats_Arrowhead_Poison			1	0																																																																																												OnWeaponBow;OnWeaponCrossbow		Status_Arrowhead_Poison																								
Stats_Arrowhead_Electric			1	0																																																																																												OnWeaponBow;OnWeaponCrossbow		Status_Arrowhead_Electric																								
Stats_Arrowhead_Blood			1	0																																																																																												OnWeaponBow;OnWeaponCrossbow		Status_Arrowhead_Blood																								
Stats_Arrowhead_Oil			1	0																																																																																												OnWeaponBow;OnWeaponCrossbow		Status_Arrowhead_Oil																								
Stats_FireBrand			1	0																																																																																														Status_FireBrand																								
Stats_VenomCoating			1	0																																																																																														Status_VenomCoating																								
Stats_VenomAura			1	0																																																																																														Status_VenomCoating																								
Stats_SiphonPoison			1	0																																																																																														Status_SiphonPoison																								
Stats_SparkingSwings			1	0																																																																																																																						
Stats_SparkMaster			1	0																																																																																																																						
Stats_Invisible			1	0																																																																																																																						
Stats_FireSkin			1	0																																															100		-30																																							SurfaceFire					BurnImmunity;WarmImmunity																									
Stats_IceSkin			1	0																																															-30		100																																							SurfaceWaterFrozen					FreezeImmunity;ChilledImmunity																									
Stats_PoisonSkin			1	0																																																100		-30	100																																					SurfacePoison					PetrifiedImmunity;PoisonImmunity;SlowedImmunity;AcidImmunity																									
Stats_ElectricSkin			1	0																																																-30		100	-30																																					SurfaceWaterElectrified					StunImmunity;ShockedImmunity																									
Stats_MendMetal			1	0																																																																																																																						
Stats_FrostAura			1	0																																																																																																																						
Stats_ExtraTurn			1	0																																																																																																																						
Stats_LastRites			1	0																																																																																		2	400	0	Piercing																																	
Stats_Vampirism			1	0																																																																																	50																																					
Stats_Possessed			1	0																																																																																													TauntedImmunity;SleepingImmunity;MadnessImmunity;CharmImmunity;FearImmunity																									
Stats_Infested			1	0																																																																																																																						
Stats_Inactive			1	0																																																						-10000																																																																
Stats_Deaf			1	0																		-7																																													-20	-30																																																						
Stats_VoidHowl			1	0													5					5																																							100					20	30		80							25																																														
Stats_Weakened			1	0																																															-50	-50	-50	-50	-50									-50															-50		-50																																									
Stats_Quest_PainAura			1	0				10																																																																																																																		
Stats_Quest_PainStatus			1	0																																															-50																																																																							
Stats_Quest_FaithAura			1	0																																																																																																																						
Stats_Quest_Faith			1	0													3	3	3																																																	10	50																															unknown																						
Stats_Quest_PoisonAura			1	0				10																																																																																																																		
Stats_Quest_DeflectingAura			1	0																																																																																																																						
Stats_Encumbered_Partial			1	0																																																										-50																																																												
Stats_Encumbered_Full			1	0																																																										-100																																																												
Stats_Plague			1	0																-3																															-30	-30	-30	-30	-30														-30																																																					
Stats_Hypercharged			1	0																																																									300								50		-1					100																																														
Stats_InnerDemon			1	0															4																																																													50																	FearImmunity																									
Stats_Muted			1	0																																																																																																																						
Stats_Quest_SilenceAura	Stats_Muted		1	0																																																																																																																						
Stats_ProtectionCircle			1	0																																															10	10	10	10	10																																																																			
Stats_Revered			1	0																																																																				-3																																																		
Stats_PermanentDecay			1	0																																																																																													BlessedImmunity		RS3_FX_GP_Status_Decaying_Permanent_01:Dummy_BodyFX																							
Stats_Quest_FearAura			1	0																																																																																																																						
Stats_SourceReplenish			1	0																																																																																							1																															
Potion			1												250	20																																																																			1																				Consumable		Yes																	
POTION_Healing_Poisoned_Masked_Minor_A	Potion	db064d03-85e9-42cd-a343-66b19babc6d8		5			PotionPoison									20																																																																		0				2	200	10	Poison						POISONED,100,2									Yes					POTION_Minor_Healing_Potion													
POTION_Healing_Poisoned_Masked_Medium_A	Potion	134286bb-6cf0-4c66-955c-9a4bf1a3b8d2		9			PotionPoison									30																																																																		0				2	200	10	Poison						POISONED,100,3									Yes					POTION_Medium_Healing_Potion													
POTION_Healing_Poisoned_Masked_Large_A	Potion	9c0b6b88-355b-463a-a9a7-d77ae4007e11		13			PotionPoison									80																																																																		0				2	200	10	Poison						POISONED,100,4									Yes					POTION_Large_Healing_Potion													
POTION_Healing_Poisoned_Masked_Huge_A	Potion	8c1d747e-be2c-422b-ad63-78939c9244a2		16			PotionPoison									125																																																																		0				2	200	10	Poison						POISONED,100,5									Yes					POTION_Large_Healing_Potion													
POTION_Source_Potion	Potion	23cdecb1-06a4-4290-bb2c-de300cba5dd0		3												160																																																																											1								RS3_FX_GP_Status_SourceInfused_01:Dummy_BodyFX																							
POTION_Minor_Healing_Potion	Potion	944e4b8c-1736-4ff6-8fa6-d7ceda9941da		1		Healing	PotionHealing									20																																															400																																																			HealingPotion	1	1	1		1	4		
POTION_Medium_Healing_Potion	Potion	d2781168-5862-4e6d-95a3-47d9bd9e8dba		5		Healing	PotionHealing									30																																															400																																																			HealingPotion	1	1	1		5	8		
POTION_Large_Healing_Potion	Potion	68b40462-247a-44fd-87d0-c2eea2f49ed1		9		Healing	PotionHealing									80																																															400																																																			HealingPotion	1	1	1		9	12		
POTION_Huge_Healing_Potion	Potion	445fefc5-c643-4798-a495-e45a021d7ef4		13		Healing	PotionHealing									125																																															400																																																			HealingPotion	1	1	1		13	15		
POTION_Giant_Healing_Potion	Potion	654ca67d-d60a-415d-b1d6-8727faa9e7d5		16		Healing	PotionHealing									230																																															400																																																			HealingPotion	1	1	1		16			
POTION_Healing_Elixir	Potion	37535d5c-3262-4d2d-bcbc-c940e33ec2ca		3		Healing	PotionHealing									80																																															400																																HEALING_ELIXIR,100,0																											
POTION_Permanent_Healing_Potion	Potion	68b40462-247a-44fd-87d0-c2eea2f49ed1		13												1200																																																10																		-1																																								
CON_Potion_MagicArmor_Boost_A	Potion	6d2ea018-4ae3-4fbe-b3a5-0402420ca1ef		4		MagicArmor										15																																																																50		5																																ArmourPotion	1	1	4		1	6		
CON_Potion_MagicArmor_Boost_Medium_A	Potion	aaaca555-98dc-4b95-a9e2-6349c2d67f56		9		MagicArmor										55																																																																50		5																																ArmourPotion	1	1	4		7			
CON_Potion_MagicArmor_Boost_Large_A	Potion	7254be43-3d7f-4f78-bf6d-a484da430d3d		13		MagicArmor										95																																																																50		5																																ArmourPotion	1	1	2		13			
CON_Potion_MagicArmor_Boost_Giant_A	Potion	0bf05d83-6637-4ce7-b1da-c4ff91044502		16		MagicArmor										170																																																																50		5																																ArmourPotion	1	1	2		13			
CON_Potion_PhysicalArmor_Boost_A	Potion	68b867bd-2346-4a8b-bc46-e4ef369f9d11		4		PhysicalArmor										15																																																														50				5																																ArmourPotion	1	1	4		1	6		
CON_Potion_PhysicalArmor_Boost_Medium_A	Potion	43a871bb-2e3b-47b7-9635-a6653c52fde5		9		PhysicalArmor										55																																																														50				5																																ArmourPotion	1	1	4		7			
CON_Potion_PhysicalArmor_Boost_Large_A	Potion	7715cfdc-d671-410f-b722-b23d9beb5278		13		PhysicalArmor										95																																																														50				5																																ArmourPotion	1	1	2		13			
CON_Potion_PhysicalArmor_Boost_Giant_A	Potion	186d5d7f-d283-4025-8c10-cd250f5cd930		16		PhysicalArmor										170																																																														50				5																																ArmourPotion	1	1	2		13			
CON_Potion_Poison_A	Potion	8122de3c-a331-44a4-b51a-6767a778776f		3			PotionPoison									20																																																																		0				2	200	10	Poison						POISONED,100,2																			ArmourPotion	1	1	1		1	4		
CON_Potion_Poison_Medium_A	Potion	3b5c5a91-00ab-4a86-bc30-b59e14951163		6			PotionPoison									30																																																																		0				2	200	10	Poison						POISONED,100,2																			ArmourPotion	1	1	1		5	8		
CON_Potion_Poison_Large_A	Potion	6d9420d8-cbf6-444f-ac42-c535a7df99f7		9			PotionPoison									80																																																																		0				2	200	10	Poison						POISONED,100,3																			ArmourPotion	1	1	1		9	12		
CON_Potion_Poison_Huge_A	Potion	5b31c4c8-88cd-4d86-9c23-f762126ee7f0		13			PotionPoison									125																																																																		0				2	200	10	Poison						POISONED,100,3																			ArmourPotion	1	1	1		13	15		
CON_Potion_Poison_Giant_A	Potion	f7d43db4-96b4-4db1-b83c-b21987b63a65		16			PotionPoison									230																																																																		0				2	200	10	Poison						POISONED,100,3																			ArmourPotion	1	1	1		16			
CON_Potion_Poison_Elixir	Potion	6a49fb10-6f0b-4caf-9caf-9e74901dbc72		3			PotionPoison									80																																																																		0				2	200	10	Poison						HEALING_ELIXIR,100,0																											
POTION_Minor_Strength_Potion	Potion	f2c90b87-74ef-4fc1-a3be-3ad2502cc5b0		2		Strength										65	1																																																																	3																																								
POTION_Medium_Strength_Potion	Potion	8b6da3d0-0364-4238-98bd-2d0d6ddd5403		5		Strength										95	6																																																																	3																																StatPotionEarly	1	1	5		5			
POTION_Large_Strength_Potion	Potion	483c45ac-f660-4367-b593-c4d0200c4f9e		16		Strength										300	9																																																																	3																																StatPotionLate	1	1	1		16			
POTION_Permanent_Strength_Potion	Potion	483c45ac-f660-4367-b593-c4d0200c4f9e		13												4000	1																																																																	-1																																	1							
POTION_Minor_Dexterity_Potion	Potion	c44679c1-f38e-4e3c-9ab1-dea95321893e		2		Dexterity										65		1																																																																3																																								
POTION_Medium_Dexterity_Potion	Potion	fccbfc38-f138-452e-ab7a-138ad9a09334		5		Dexterity										95		6																																																																3																																StatPotionEarly	1	1	5		5			
POTION_Large_Dexterity_Potion	Potion	a5aff2c5-bc7a-4ed6-876b-0fa46ea3f762		16		Dexterity										300		9																																																																3																																StatPotionLate	1	1	1		16			
POTION_Permanent_Dexterity_Potion	Potion	a5aff2c5-bc7a-4ed6-876b-0fa46ea3f762		13												4000		1																																																																-1																																	1							
POTION_Minor_Speed_Potion	Potion	63492aef-2a47-4e21-a8db-18bfd2a1f132		2		Speed										65					1																																																													3																																								
POTION_Medium_Speed_Potion	Potion	44820d4d-9122-4f65-9f07-0e2093b76bd9		5		Speed										95					6																																																													3																																								
POTION_Large_Speed_Potion	Potion	d5164582-23cb-47b7-a63c-0e434b4ac210		16		Speed										300					9																																																													3																																								
POTION_Permanent_Speed_Potion	Potion	d5164582-23cb-47b7-a63c-0e434b4ac210		13												4000					1																																																													-1																																								
POTION_Minor_Intelligence_Potion	Potion	9779d922-16ae-460e-beca-1c16efd93c3e		2		Intelligence										65			1																																																															3																																								
POTION_Medium_Intelligence_Potion	Potion	b61868ea-7deb-42f9-9e34-ded87e1bf649		5		Intelligence										95			6																																																															3																																StatPotionEarly	1	1	5		5			
POTION_Large_Intelligence_Potion	Potion	89708a8e-50ff-4ba1-b047-a828d5cde0c4		16		Intelligence										300			9																																																															3																																StatPotionLate	1	1	1		16			
POTION_Permanent_Intelligence_Potion	Potion	89708a8e-50ff-4ba1-b047-a828d5cde0c4		13												4000			1																																																															-1																																	1							
POTION_Minor_Constitution_Potion	Potion	b8e56305-a850-4562-a1c8-12e20e2ac703		2		Constitution										65				1																																																														3																																								
POTION_Medium_Constitution_Potion	Potion	350b8a76-1ddb-45ea-9400-dab656b24ad9		5		Constitution										95				6																																																														3																																StatPotionEarly	1	1	5		5			
POTION_Large_Constitution_Potion	Potion	6e60688e-5f25-4498-b984-926c85333dd1		16		Constitution										300				9																																																														3																																StatPotionLate	1	1	1		16			
POTION_Permanent_Constitution_Potion	Potion	6e60688e-5f25-4498-b984-926c85333dd1		13												4000				1																																																														-1																																								
POTION_Minor_Perception_Potion	Potion	ceec2f91-a8bb-474b-8824-4dc2413644ff		2		Perception										65						1																																																												3																																								
POTION_Medium_Perception_Potion	Potion	4d8476f2-40a0-4e8f-83b5-1541d747e5be		5		Perception										95						6																																																												3																																StatPotionEarly	1	1	5		5			
POTION_Large_Perception_Potion	Potion	cbc19c6e-424c-4569-8dd7-a314eb3531c3		16		Perception										300						9																																																												3																																StatPotionLate	1	1	1		16			
