Name	Parent	ItemGroup	ModifierType	Act	Level	Requirements	IsTwoHanded	AttackAPCost	Damage Type	Damage	Damage Range	DamageBoost	DamageFromBase	CriticalDamage	CriticalChance	WeaponRange	CleavePercentage	CleaveAngle	Durability	DurabilityDegradeSpeed	Value	Weight	Movement	Initiative	WeaponType	AnimType	Slot	Projectile	IgnoreVisionBlock	StrengthBoost	FinesseBoost	IntelligenceBoost	ConstitutionBoost	MemoryBoost	WitsBoost	TwoHanded	SingleHanded	Ranged	DualWielding	Perseverance	Leadership	PainReflection	WarriorLore	RangerLore	RogueLore	FireSpecialist	WaterSpecialist	AirSpecialist	EarthSpecialist	Necromancy	Polymorph	Summoning	Sourcery	Telekinesis	Sneaking	Thievery	Loremaster	Repair	Barter	Persuasion	Luck	Fire	Earth	Water	Air	Poison	SightBoost	HearingBoost	VitalityBoost	ChanceToHitBoost	APMaximum	APStart	APRecovery	AccuracyBoost	DodgeBoost	ComboCategory	Reflection	MaxSummons	LifeSteal	Skills	Talents	Tags	ExtraProperties	Flags	Boosts	InventoryTab	NeedsIdentification	Charges	MaxCharges	ItemColor	RuneSlots	RuneSlots_V1	ObjectCategory	MinAmount	MaxAmount	Priority	Unique	MinLevel	MaxLevel	Comment	
_Daggers		Daggers	Item	1		Finesse 12	No	2	Physical	0	5		55	150	0	80			20	6	25	500	0		Knife		Weapon																																																											Equipment		0	0	DefaultGray	0	0									
_NpcDaggers	_Daggers									2																																																																																											
WPN_Dagger	_Daggers				0																																																																							Dagger,CuttingTool																	Dagger	1	1	1		1			
WPN_CraftedDagger	_Daggers	WPN_CraftedDagger			0																15																																																							Dagger,CuttingTool																									
WPN_Dagger_Arena_A	_Daggers				0																																																																							Dagger,CuttingTool								Unbreakable																	
WPN_Dagger_Arena_B	_Daggers				0																																																																							Dagger,CuttingTool								Unbreakable																	
WPN_Wooden_Stake	_Daggers				1																1																																																																									1	1	1		1			
FUR_Rich_Fork_A	_Daggers	FUR_Rich_Fork_A			0								30								50																																																																																
FUR_Rich_Knife_A	_Daggers	FUR_Rich_Knife_A			0								30								58																																																							Knife,CuttingTool																		1	1	2					
TOOL_Shears_A	_Daggers	TOOL_Shears_A			1								30								4																																																							CuttingTool																	Junk	1	1	1		1			
FUR_Cutlery_Knife_A	_Daggers	FUR_Rich_Knife_A			1								30								1																																																							Knife,CuttingTool																		1	1	1		1			
WPN_Toy_WoodenSword	_Daggers	WPN_Toy_WoodenSword			1								30								3																																																																									1	1	1		1			
_Swords		Swords_1H	Item	1		Strength 12	No	2	Physical	0	10		67	150	0	120			20	6	55	2500	0		Sword		Weapon																																																											Equipment		0	0	DefaultGray	0	0									
_NpcSwords	_Swords									2																																																																																											
WPN_Sword_1H	_Swords				0																																																																							Sword,CuttingTool																	Sword	1	1	1		1			
WPN_Sword_Arena_A	_Swords				0																																																																							Sword,CuttingTool																									
WPN_CraftedSword_1H	_Swords	WPN_CraftedSword_1H			0																25																																																							Sword,CuttingTool																									
WPN_Cheat_Sword_1H_RuneSlot1	_Swords				1																																																																															Unbreakable							1	1									
WPN_Cheat_Sword_1H_RuneSlot2	_Swords				1																																																																															Unbreakable							2	2									
WPN_Cheat_Sword_1H_RuneSlot3	_Swords				1																																																																															Unbreakable							3	3									
WPN_Cheat_Sword_1H_Fire	_Swords				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_Sword_1H_Water	_Swords				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_Sword_1H_Poison	_Swords				10																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_Sword_1H_Earth	_Swords				15																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_Sword_1H_Air	_Swords				20																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_Sword_1H_Damage	_Swords				5																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Axes		Axes_1H	Item	1		Strength 12	No	2	Physical	0	15		67	150	0	120			20	6	65	3000	0		Axe		Weapon																																																											Equipment		0	0	DefaultGray	0	0									
_NpcAxes	_Axes									2																																																																																											
WPN_Axe_1H	_Axes				0																																																																							Axe,CuttingTool														DefaultGray			Axe	1	1	1		1			
WPN_CraftedAxe_1H	_Axes	WPN_CraftedAxe_1H			0																30																																																							Axe,CuttingTool																									
WPN_Cleaver	_Axes	WPN_Cleaver			3																40	2000																																																						Axe,CuttingTool																	Junk	1	1	1		4	8		
WPN_Cheat_Axe_1H_Fire	_Axes				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_Axe_1H_Water	_Axes				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_Axe_1H_Poison	_Axes				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_Axe_1H_Earth	_Axes				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_Axe_1H_Air	_Axes				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_Axe_1H_Damage	_Axes				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Clubs		Maces_1H	Item	1		Strength 12	No	2	Physical	0	5		67	150	0	120			20	6	40	3500	0		Club		Weapon																																																											Equipment		0	0	DefaultGray	0	0									
_NpcClubs	_Clubs									2																																																																																											
WPN_Mace_1H	_Clubs				0																																																																							Club,Hammer																	Club	1	1	1		1			
FUR_Pan	_Clubs	FUR_Pan			1								30								1	2000																																																						Club,Hammer																	Junk	1	1	2		1			
WPN_Common_Mace_1H_C	_Clubs	WPN_Common_Mace_1H_C			1																1	1000																																																						Club,Hammer																	Junk	1	1	1		2			
WPN_Common_Mace_1H_A	_Clubs	WPN_Common_Mace_1H_A			1																2	1000																																																						Club,Hammer																									
WPN_Branch_A	_Clubs				1																1	500																																																						Club,Hammer																									
WPN_Branch_A_Nails	_Clubs				2																3	600																																																						Club																									
WPN_Cheat_Club_1H_Fire	_Clubs				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_Club_1H_Water	_Clubs				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_Club_1H_Poison	_Clubs				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_Club_1H_Earth	_Clubs				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_Club_1H_Air	_Clubs				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_Club_1H_Damage	_Clubs				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_TwoHandedSwords		Swords_2H	Item	1		Strength 12	Yes	2	Physical	0	10		105	150	0	150			20	6	75	6000	0		Sword		Weapon																																																					Target_HeavyAttack						Equipment		0	0	DefaultGray	0	0									
_NpcTwoHandedSwords	_TwoHandedSwords									2																																																																																											
WPN_Sword_2H	_TwoHandedSwords				0																																																																							TwoHandedSword,CuttingTool																	TwoHandedSword	1	1	1		1			
WPN_CraftedSword_2H	_TwoHandedSwords				0																20																																																							TwoHandedSword,CuttingTool																									
WPN_Cheat_TwoHandedSword_1H_Fire	_TwoHandedSwords				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_TwoHandedSword_1H_Water	_TwoHandedSwords				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_TwoHandedSword_1H_Poison	_TwoHandedSwords				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_TwoHandedSword_1H_Earth	_TwoHandedSwords				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_TwoHandedSword_1H_Air	_TwoHandedSwords				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_TwoHandedSword_1H_Damage	_TwoHandedSwords				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
WPN_Cheat_Sword_2H_RuneSlot1	_TwoHandedSwords				1																																																																															Unbreakable							1	1									
WPN_Cheat_Sword_2H_RuneSlot2	_TwoHandedSwords				1																																																																															Unbreakable							2	2									
WPN_Cheat_Sword_2H_RuneSlot3	_TwoHandedSwords				1																																																																															Unbreakable							3	3									
_TwoHandedAxes		Axes_2H	Item	1		Strength 12	Yes	2	Physical	0	15		105	150	0	150			20	6	90	6000	0		Axe		Weapon																																																					Target_HeavyAttack						Equipment		0	0	DefaultGray	0	0									
_NpcTwoHandedAxes	_TwoHandedAxes									2																																																																																											
WPN_Axe_2H	_TwoHandedAxes				0																																																																							TwoHandedAxe,CuttingTool																	TwoHandedAxe	1	1	1		1			
WPN_CraftedAxe_2H	_TwoHandedAxes	WPN_CraftedAxe_2H			0																35																																																							TwoHandedAxe,CuttingTool																									
WPN_Common_Axe_2H_A	_TwoHandedAxes	WPN_Common_Axe_2H_A			4								70								2																																																							TwoHandedAxe,CuttingTool																	Junk	1	1	1		4			
WPN_Cheat_TwoHandedAxe_1H_Fire	_TwoHandedAxes				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_TwoHandedAxe_1H_Water	_TwoHandedAxes				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_TwoHandedAxe_1H_Poison	_TwoHandedAxes				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_TwoHandedAxe_1H_Earth	_TwoHandedAxes				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_TwoHandedAxe_1H_Air	_TwoHandedAxes				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_TwoHandedAxe_1H_Damage	_TwoHandedAxes				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_TwoHandedMaces		Maces_2H	Item	1		Strength 12	Yes	2	Physical	0	5		105	150	0	150			20	6	50	6000	0		Club		Weapon																																																					Target_HeavyAttack						Equipment		0	0	DefaultGray	0	0									
_NpcTwoHandedMaces	_TwoHandedMaces									2																																																																																											
WPN_Mace_2H	_TwoHandedMaces				0																																																																							TwoHandedMaces,Hammer																	TwoHandedMace	1	1	1		1			
WPN_CraftedMace_2H	_TwoHandedMaces	WPN_CraftedMace_2H			0																20																																																							TwoHandedMaces,Hammer																									
WPN_CraftedMace_2H_B	_TwoHandedMaces	WPN_CraftedMace_2H_B			0																19																																																							TwoHandedMaces,Hammer																									
TOOL_Broom_A	_TwoHandedMaces	TOOL_Broom_A			1								40								1																																																																								Junk	1	1	1		1			
WPN_2HMace_Arena_A	_TwoHandedMaces				0																																																																							TwoHandedMaces,Hammer								Unbreakable																	
WPN_2HMace_Arena_B	_TwoHandedMaces				6																																																																							TwoHandedMaces,Hammer								Unbreakable																	
WPN_Cheat_TwoHandedMace_1H_Fire	_TwoHandedMaces				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_TwoHandedMace_1H_Water	_TwoHandedMaces				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_TwoHandedMace_1H_Poison	_TwoHandedMaces				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_TwoHandedMace_1H_Earth	_TwoHandedMaces				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_TwoHandedMace_1H_Air	_TwoHandedMaces				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_TwoHandedMace_1H_Damage	_TwoHandedMaces				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Spears		Spears_2H	Item	1		Finesse 12	Yes	2	Physical	0	5		100	150	0	250			20	6	60	2000	0		Spear		Weapon																																																					Target_HeavyAttack						Equipment		0	0	DefaultGray	0	0									
_NpcSpears	_Spears									2																																																																																											
WPN_Spear	_Spears				0																																																																							Spear																	Spear	1	1	1		1			
WPN_PrimitiveHarpoon	_Spears	WPN_Common_Spear_2H_A			0																4																																																							Spear																									
WPN_Pitchfork	_Spears	WPN_Pitchfork			1																1																																																							Spear																	Junk	1	1	1		10			
TOOL_FishingRod_A	_Spears	TOOL_FishingRod_A			1								40								2	500																																																						FishingRod																	Junk	1	1	1		1	9		
WPN_Cheat_TwoHandedSpear_1H_Fire	_Spears				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_TwoHandedSpear_1H_Water	_Spears				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_TwoHandedSpear_1H_Poison	_Spears				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_TwoHandedSpear_1H_Earth	_Spears				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_TwoHandedSpear_1H_Air	_Spears				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_TwoHandedSpear_1H_Damage	_Spears				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Staffs		Staves_2H	Item	1		Intelligence 12	Yes	2	Physical	0	20		95	150	0	150			20	6	100	2500	0		Staff		Weapon																																																					Projectile_StaffOfMagus						Equipment		0	0	DefaultGray	0	0									
_Staffs_Fire	_Staffs				0				Fire																																																																			Staff							Ignite;Melt																		
_Staffs_Water	_Staffs				0				Water																																																																			Staff							Freeze																		
_Staffs_Poison	_Staffs				0				Poison																																																																			Staff							Contaminate																		
_Staffs_Earth	_Staffs				0				Earth																																																																			Staff							Oilify																		
_Staffs_Air	_Staffs				0				Air																																																																			Staff																									
_NpcStaffs	_Staffs				0					2																																																																																											
_NpcStaffs_Fire	_Staffs_Fire				0					2																																																																																											
_NpcStaffs_Water	_Staffs_Water				0					2																																																																																											
_NpcStaffs_Poison	_Staffs_Poison				0					2																																																																																											
_NpcStaffs_Earth	_Staffs_Earth				0					2																																																																																											
_NpcStaffs_Air	_Staffs_Air				0					2																																																																																											
WPN_Staff_Fire	_Staffs_Fire				0																																																																							Staff																	StaffFire	1	1	1		1			
WPN_Staff_Water	_Staffs_Water				0																																																																							Staff																	StaffWater	1	1	1		1			
WPN_Staff_Poison	_Staffs_Poison				0																																																																							Staff																	StaffPoison	1	1	1		1			
WPN_Staff_Air	_Staffs_Air				0																																																																							Staff																	StaffAir	1	1	1		1			
WPN_Staff_Earth	_Staffs_Earth				0																																																																							Staff																									
WPN_Staff_Arena	_Staffs				6				Fire																																																																			Staff																									
WPN_CraftedStaff_Fire	_Staffs_Fire	WPN_CraftedStaff_Fire			0																48																																																							Staff																									
WPN_CraftedStaff_Water	_Staffs_Water	WPN_CraftedStaff_Water			0																48																																																							Staff																									
WPN_CraftedStaff_Poison	_Staffs_Poison	WPN_CraftedStaff_Poison			0																48																																																							Staff																									
WPN_CraftedStaff_Air	_Staffs_Air	WPN_CraftedStaff_Air			0																48																																																							Staff																									
WPN_Cheat_Staffs_1H_Fire	_Spears				1																																																																															Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_Staffs_1H_Water	_Spears				5																																																																															Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_Staffs_1H_Poison	_Spears				15																																																																															Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_Staffs_1H_Earth	_Spears				20																																																																															Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_Staffs_1H_Air	_Spears				5																																																																															Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_Staffs_1H_Damage	_Spears				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Bows		Bows	Item	1		Finesse 12	Yes	2	Physical	0	20		90	150	0	1300			0	6	75	2000	0		Bow		Weapon	04bdf5e2-3c6a-4711-b516-1a275ccbd710	Yes																																																									Equipment		0	0	DefaultGray	0	0									
_NpcBows	_Bows									2																																																																																											
WPN_Bow	_Bows				0																																																																							Bow																	Bow	1	1	1		1			
WPN_CraftedBow	_Bows	WPN_CraftedBow			0																28																																																							Bow																									
WPN_Bow_Arena_A	_Bows				0																																																																							Bow								Unbreakable																	
WPN_Bow_Arena_B	_Bows				6																																																																							Bow								Unbreakable																	
WPN_Cheat_Bows_1H_Fire	_Bows				1																							8efaf767-7d66-4f4d-8c8e-5cb4a3d2e0f6																																																								Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_Bows_1H_Water	_Bows				5																							cb9b39f1-8809-4c8c-90b5-97f9281c608a																																																								Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_Bows_1H_Poison	_Bows				15																							94fabe05-2334-430f-bb74-5959de40b4b1																																																								Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_Bows_1H_Earth	_Bows				20																							beca2252-26fc-4c8b-94c6-a64df1ffe1d9																																																								Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_Bows_1H_Air	_Bows				5																							183717cc-5910-454d-b352-f4696a11d089																																																								Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_Bows_1H_Damage	_Bows				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Crossbows		Crossbows	Item	1		Finesse 12	Yes	2	Physical	0	5		100	150	0	1300			0	6	100	3000	-100		Crossbow		Weapon	c18e979b-b3be-4a62-bbec-cbe53fcf0e15	Yes																																													5												Equipment		0	0	DefaultGray	0	0									
_NpcCrossbows	_Crossbows									2																																																																																											
WPN_Crossbow	_Crossbows				0																																																																							Crossbow																	Crossbow	1	1	1		1			
WPN_CraftedCrossbow	_Crossbows	WPN_CraftedCrossbow			0																34																																																							Crossbow																									
WPN_Crossbow_Arena	_Crossbows				6																																																																							Crossbow																									
WPN_Crossbow_Barklista	_Crossbows	EMPTY			0																																																																																																
WPN_Cheat_Crossbows_1H_Fire	_Crossbows				1																							f35fee72-e632-4cf7-afd7-4091529c1f05																																																								Unbreakable	_Boost_Weapon_Damage_Fire_Medium																
WPN_Cheat_Crossbows_1H_Water	_Crossbows				5																							d5324fb6-943e-40ea-857f-1a028659d20b																																																								Unbreakable	_Boost_Weapon_Damage_Water_Medium																
WPN_Cheat_Crossbows_1H_Poison	_Crossbows				15																							b136c5e6-a464-4a17-bc56-aa94211f0b4f																																																								Unbreakable	_Boost_Weapon_Damage_Poison_Medium																
WPN_Cheat_Crossbows_1H_Earth	_Crossbows				20																							5e4d1a64-8547-4b7a-a698-249bd4b3e62d																																																								Unbreakable	_Boost_Weapon_Damage_Earth_Medium																
WPN_Cheat_Crossbows_1H_Air	_Crossbows				5																							42df1e59-137d-4bc6-8bb0-4b6cd2748c82																																																								Unbreakable	_Boost_Weapon_Damage_Air_Medium																
WPN_Cheat_Crossbows_1H_Damage	_Crossbows				10																																																																															Unbreakable	_Boost_Weapon_Damage_Bonus_Medium																
_Wands		Wands_1H	Item	1		Intelligence 12	No	2	Fire	0	15		55	150	0	1300			0	10	70	1000	0		Wand		Weapon																																																											Equipment		0	0	DefaultGray	0	0									
_Wands_Fire	_Wands				0				Fire																			ecdb61db-7c28-4917-ac1b-ccbfaf23a331																																																							Ignite;CreateSurface,1,,Fire																		
_Wands_Air	_Wands				0				Air																			434846a8-9a5e-4df2-b9c4-66bb24e80379																																																							Electrify																		
_Wands_Water	_Wands				0				Water																			019229b6-5741-4aeb-b4fc-c4a3bf2758fb																																																							CreateSurface,1,,WaterFrozen																		
_Wands_Poison	_Wands				0				Poison																			dc9aa8b4-04d9-47ba-9bb1-5c480f1b978c																																																							CreateSurface,1,,Poison																		
_NpcWands_Fire	_Wands_Fire				0					2																																																																																											
_NpcWands_Air	_Wands_Air				0					2																																																																																											
_NpcWands_Water	_Wands_Water				0					2																																																																																											
_NpcWands_Poison	_Wands_Poison				0					2																																																																																											
WPN_Wand_Fire	_Wands_Fire				0																																																																																								WandFire	1	1	1		1			
WPN_Wand_Air	_Wands_Air				0																																																																																								WandAir	1	1	1		1			
WPN_Wand_Water	_Wands_Water				0																																																																																								WandWater	1	1	1		1			
WPN_Wand_Poison	_Wands_Poison				0																																																																																								WandPoison	1	1	1		1			
WPN_CraftedWand_Fire	_Wands_Fire	WPN_CraftedWand_Fire			0								40								31																																																																																
WPN_CraftedWand_Air	_Wands_Air	WPN_CraftedWand_Air			0								40								31																																																																																
WPN_CraftedWand_Water	_Wands_Water	WPN_CraftedWand_Water			0								40								31																																																																																
WPN_CraftedWand_Poison	_Wands_Poison	WPN_CraftedWand_Poison			0								40								31																																																																																
WPN_Wand_Arena_A	_Wands_Fire				0																																																																															Unbreakable																	
WPN_Wand_Arena_B	_Wands_Fire				0																																																																															Unbreakable																	
WPN_Wand_Purging	_Wands_Fire	WPN_Wand_Purging			0																																																																											Target_SourceDisruption								4	4												
WPN_Wand_Purging_Inert	_Wands_Fire	WPN_Wand_Purging			0																																																																																																
_Placeholders																			0																																																																					0	0		0	0									
_Placeholder_OneHanded	_Swords	EMPTY			1		No																		Sword																																																											Unbreakable		Hidden															
_Placeholder_TwoHanded_Generic	_TwoHandedAxes	EMPTY			1		Yes																		Sword																																																											Unbreakable		Hidden															
_Placeholder_TwoHanded_Sword	_TwoHandedSwords	EMPTY			1		Yes																		Axe																																																											Unbreakable		Hidden															
_Placeholder_SmallWeapon	_Daggers	EMPTY			1		No																		Knife																																																											Unbreakable		Hidden															
_Placeholder_Bows	_Bows	EMPTY			1		No																		Bow																																																											Unbreakable		Hidden															
_Placeholder_Crossbows	_Crossbows	EMPTY			1		No																		Crossbow																																																											Unbreakable		Hidden															
_Placeholder_PoleArms	_Spears	EMPTY			1		Yes																		Spear																																																											Unbreakable		Hidden															
_Placeholder_Unarmed	_Daggers	EMPTY			1		No																		None																																																											Unbreakable		Hidden															
_Placeholder_Staves	_Staffs	EMPTY			1		Yes																		Staff																																																											Unbreakable		Hidden															
_Placeholder_Wands	_Wands	EMPTY			1		No																		Wand			ecdb61db-7c28-4917-ac1b-ccbfaf23a331																																																								Unbreakable		Hidden															
_Summons_Weapons			Item				No	2											0																																																																					0	0		0	0									
_Summon_BonePile	_NpcSwords	EMPTY			0		Yes						100			150									None																																																											Unbreakable		Hidden															
_Summon_FireSlug	_NpcClubs	EMPTY			0		No		Fire				100			70			10						None																																																										BURNING,100,2	Unbreakable	_Enemy_Boost_FireDamage	Hidden															
_Summon_Voidwoken_A	_NpcDaggers	EMPTY			0		No					-10													None																																																											Unbreakable		Hidden															
_Summon_Cat	_NpcDaggers	EMPTY			0		No				5		30												None																																																											Unbreakable		Hidden															
_Summon_BloatedCorpse	_NpcClubs	EMPTY			0								50												None																																																											Unbreakable		Hidden															
_Summon_Incarnate	_NpcDaggers	EMPTY			0		No				10		50												None																																																											Unbreakable		Hidden															
_Summon_Incarnate_Fire_Infused	_Summon_Incarnate				0				Fire																																																																																												
_Summon_Incarnate_NecroFire_Infused	_Summon_Incarnate				0				Fire																																																																																												
_Summon_Incarnate_Water_Infused	_Summon_Incarnate				0				Water																																																																																												
_Summon_Incarnate_BlessedIce_Infused	_Summon_Incarnate				0				Water																																																																																												
_Summon_Incarnate_Poison_Infused	_Summon_Incarnate				0				Poison																																																																																												
_Summon_Incarnate_Earth_Infused	_Summon_Incarnate				0				Earth																																																																																												
_Summon_Incarnate_Acid_Infused	_Summon_Incarnate				0				Poison																																																																																												
_Summon_Incarnate_Electric_Infused	_Summon_Incarnate				0				Air																																																																																												
_Summon_Incarnate_CursedElectric_Infused	_Summon_Incarnate				0				Air																																																																																												
_Summon_Incarnate_Blood_Infused	_Summon_Incarnate				0				Physical			10																																																																																									
_Summon_Incarnate_Giant	_Summon_Incarnate											50																																																																																									
